JOL_Bin,Direction,Average,Upper,Lower
0,B,20,35.53160549,4.468394506
10,B,25.98585323,44.08373035,12.93660563
20,B,20.98585323,38.37340914,9.535521011
30,B,21.75213675,30.34730534,-3.595168589
40,B,27.69005848,46.25774477,14.76564704
50,B,34.35672515,53.72588775,25.3676795
60,B,34.83981693,51.78971797,8.050098959
70,B,30.53359684,49.25268811,16.06351742
80,B,35.02077633,53.34573733,13.49322081
90,B,36.98979182,55.93487628,19.51645399
100,B,40.68965517,59.60554188,21.77376847
0,F,35.8974359,54.5775411,17.2173307
10,F,41.48077585,60.98074684,21.67649959
20,F,43.24045408,62.95912317,27.64975196
30,F,55.90385277,75.40382376,21.67649959
40,F,64.07271242,80.01907597,63.22030311
50,F,72.56944444,90.1284022,54.31604224
60,F,67.60912698,86.36532254,47.91047111
70,F,69.29181929,88.40530782,45.17222576
80,F,73.15655359,89.67249533,60.40713519
90,F,77.99060843,94.0206805,62.23079749
100,F,78.78787879,94.5285599,63.04719768
0,S,40.35087719,59.57025844,21.13149595
10,S,40.67251462,58.26738567,9.071795619
20,S,39.72222222,59.34205025,35.38017197
30,S,54.83333333,74.72728294,17.6060504
40,S,59.48850575,77.10335962,54.38514613
50,S,70.06542882,88.16330595,50.86764011
60,S,64.12098438,82.21329207,51.13846154
70,S,60.18009768,79.74455821,34.60220613
80,S,55.62169312,74.92165913,37.84289114
90,S,59.69339303,78.97311784,36.27583074
100,S,66.38176638,84.56624197,48.1972908
0,U,8.441558442,19.16278699,-2.279670104
10,U,9.787493121,19.9488003,-2.753899774
20,U,9.124177941,22.44641865,0.191272806
30,U,10.22647071,19.82582277,-3.147739157
40,U,14.73097521,26.83804739,-1.392786458
50,U,21.67134667,38.977445,9.720928694
60,U,25.79222579,43.7469474,9.318005666
70,U,23.03321678,39.88972923,6.220410631
80,U,24.35897436,39.85413489,3.254839465
90,U,24.09638554,42.49754214,12.8488434
100,U,22.28915663,38.335242,6.243071257
