"ExperimentName","Subject","Session","Procedure.Block.","Running.Block.","Trial","cue_target","Direction","ListNum","JOL","JOL_RT","Procedure.Trial.","Recall_prompt","Response","Response_RT"
"D_JOL C 2",115,1,"BlockProc1","Block1",46,"Word - Sentence","F",6,"68",5447,"StudyProc3","Word - ?","sentence",5599
"D_JOL C 2",115,1,"BlockProc1","Block1",23,"Wasp - Bug","F",7,"70",4723,"StudyProc3","Wasp - ?","bug",2283
"D_JOL C 2",115,1,"BlockProc1","Block1",84,"Division - Math","F",8,"96",3805,"StudyProc3","Division - ?","math",3405
"D_JOL C 2",115,1,"BlockProc1","Block1",30,"Attorney - Law","F",9,"68",6624,"StudyProc3","Attorney - ?","law",3361
"D_JOL C 2",115,1,"BlockProc1","Block1",42,"Fantastic - Great","F",10,"89",3896,"StudyProc3","Fantastic - ?","great",2841
"D_JOL C 2",115,1,"BlockProc1","Block1",63,"Latch - Key","F",11,"49",6116,"StudyProc3","Latch - ?","key",3844
"D_JOL C 2",115,1,"BlockProc1","Block1",41,"Chili - Hot","F",12,"60",2420,"StudyProc3","Chili - ?","hot",2556
"D_JOL C 2",115,1,"BlockProc1","Block1",10,"Racket - Ball","F",13,"86",7329,"StudyProc3","Racket - ?","ball",2339
"D_JOL C 2",115,1,"BlockProc1","Block1",60,"Chore - Work","F",14,"77",7216,"StudyProc3","Chore - ?","",137
"D_JOL C 2",115,1,"BlockProc1","Block1",77,"Famine - Hunger","F",15,"60",11506,"StudyProc3","Famine - ?","hot",4410
"D_JOL C 2",115,1,"BlockProc1","Block1",25,"Drowsy - Sleep","F",16,"82",7702,"StudyProc3","Drowsy - ?","sleepy",4432
"D_JOL C 2",115,1,"BlockProc1","Block1",78,"Stench - Smell","F",17,"99",2440,"StudyProc3","Stench - ?","smell",3733
"D_JOL C 2",115,1,"BlockProc1","Block1",18,"Attire - Clothes","F",18,"91",3996,"StudyProc3","Attire - ?","clothes",4477
"D_JOL C 2",115,1,"BlockProc1","Block1",20,"Pilot - Plane","F",19,"95",3991,"StudyProc3","Pilot - ?","plane",3983
"D_JOL C 2",115,1,"BlockProc1","Block1",22,"Blaze - Fire","F",20,"49",4951,"StudyProc3","Blaze - ?","fire",3437
"D_JOL C 2",115,1,"BlockProc1","Block1",71,"Bad - Delinquent","B",21,"49",2887,"StudyProc3","Bad - ?","delenquient",14000
"D_JOL C 2",115,1,"BlockProc1","Block1",43,"Stomach - Digestion","B",22,"58",6940,"StudyProc3","Stomach - ?","digestion",6783
"D_JOL C 2",115,1,"BlockProc1","Block1",55,"Money - Wage","B",23,"65",12456,"StudyProc3","Money - ?","wage",3797
"D_JOL C 2",115,1,"BlockProc1","Block1",24,"News - Editor","B",24,"50",10113,"StudyProc3","Hammer - ?","chisel",3607
"D_JOL C 2",115,1,"BlockProc1","Block1",58,"Sting - Hornet","B",25,"28",4734,"StudyProc3","News - ?","editor",4040
"D_JOL C 2",115,1,"BlockProc1","Block1",56,"Cold - Bitter","B",26,"50",7880,"StudyProc3","Sting - ?","hornet",3054
"D_JOL C 2",115,1,"BlockProc1","Block1",54,"Plant - Root","B",27,"73",4636,"StudyProc3","Cold - ?","bitter",13626
"D_JOL C 2",115,1,"BlockProc1","Block1",36,"Bird - Swan","B",28,"63",7413,"StudyProc3","Plant - ?","root",1940
"D_JOL C 2",115,1,"BlockProc1","Block1",76,"Dog - Paw","B",29,"86",4342,"StudyProc3","Bird - ?","swan",4697
"D_JOL C 2",115,1,"BlockProc1","Block1",6,"Out - Way","B",30,"way",3128,"StudyProc3","Dog - ?","food",3103
"D_JOL C 2",115,1,"BlockProc1","Block1",21,"Clean - Hygiene","B",31,"80",5692,"StudyProc3","Out - ?","way",2069
"D_JOL C 2",115,1,"BlockProc1","Block1",48,"Water - Bridge","B",32,"49",3583,"StudyProc3","Clean - ?","work",8660
"D_JOL C 2",115,1,"BlockProc1","Block1",11,"Rock - Geology","B",33,"69",4809,"StudyProc3","Water- ?","drink",4486
"D_JOL C 2",115,1,"BlockProc1","Block1",13,"War - Revolution","B",34,"78",5680,"StudyProc3","Rock - ?","hard",8580
"D_JOL C 2",115,1,"BlockProc1","Block1",57,"Talk - Discussion","B",35,"78",4860,"StudyProc3","War - ?","revolution",5388
"D_JOL C 2",115,1,"BlockProc1","Block1",49,"Cow - Herd","B",36,"81",4052,"StudyProc3","Talk - ?","discussion",7482
"D_JOL C 2",115,1,"BlockProc1","Block1",64,"Card - Credit","B",37,"98",4186,"StudyProc3","Cow - ?","herd",8874
"D_JOL C 2",115,1,"BlockProc1","Block1",16,"Flower - Orchid","B",38,"40",4600,"StudyProc3","Card - ?","credit",4017
"D_JOL C 2",115,1,"BlockProc1","Block1",8,"Fish - Tuna","B",39,"70",26954,"StudyProc3","Flower - ?","orchid",4613
"D_JOL C 2",115,1,"BlockProc1","Block1",68,"Hammer - Chisel","B",40,"20",4730,"StudyProc3","Fish - ?","shrimp",4023
"D_JOL C 2",115,1,"BlockProc1","Block1",9,"Assignment - Due","S",41,"50",13947,"StudyProc3","Amount - ?","number",3256
"D_JOL C 2",115,1,"BlockProc1","Block1",44,"Amount - Number","S",42,"75",16856,"StudyProc3","Assignment - ?","due",3048
"D_JOL C 2",115,1,"BlockProc1","Block1",82,"Site - Location","S",43,"87",2857,"StudyProc3","Site - ?","location",4705
"D_JOL C 2",115,1,"BlockProc1","Block1",15,"Waste - Dump","S",44,"67",7810,"StudyProc3","Waste - ?","dump",3293
"D_JOL C 2",115,1,"BlockProc1","Block1",19,"Jury - Trial","S",45,"66",11520,"StudyProc3","Jury - ?","court",9887
"D_JOL C 2",115,1,"BlockProc1","Block1",65,"Design - Architecture","S",46,"80",3198,"StudyProc3","Design - ?","archietect",13602
"D_JOL C 2",115,1,"BlockProc1","Block1",67,"Bar - Grill","S",47,"82",3805,"StudyProc3","Bar - ?","grill",3238
"D_JOL C 2",115,1,"BlockProc1","Block1",53,"Liver - Kidney","S",48,"55",11141,"StudyProc3","Liver - ?","kidney",3940
"D_JOL C 2",115,1,"BlockProc1","Block1",69,"End - Begin","S",49,"69",3345,"StudyProc3","End - ?","begin",2776
"D_JOL C 2",115,1,"BlockProc1","Block1",39,"Wind - Blow","S",50,"87",9139,"StudyProc3","Wind - ?","blow",2298
"D_JOL C 2",115,1,"BlockProc1","Block1",12,"Soda - Pop","S",51,"100",3290,"StudyProc3","Soda - ?","pop",2655
"D_JOL C 2",115,1,"BlockProc1","Block1",35,"Cheese - Wine","S",52,"70",11439,"StudyProc3","Cheese - ?","wine",2182
"D_JOL C 2",115,1,"BlockProc1","Block1",50,"Toilet - Bathroom","S",53,"87",26955,"StudyProc3","Toilet - ?","bathroom",4629
"D_JOL C 2",115,1,"BlockProc1","Block1",17,"Decision - Choice","S",54,"80",7214,"StudyProc3","Decision - ?","choice",3468
"D_JOL C 2",115,1,"BlockProc1","Block1",72,"Foot - Shoe","S",55,"90",4799,"StudyProc3","Foot - ?","shoe",3661
"D_JOL C 2",115,1,"BlockProc1","Block1",34,"Future - Past","S",56,"60",6795,"StudyProc3","Future - ?","past",7129
"D_JOL C 2",115,1,"BlockProc1","Block1",61,"Salad - Lettuce","S",57,"100",2945,"StudyProc3","Salad - ?","lettuce",3935
"D_JOL C 2",115,1,"BlockProc1","Block1",85,"Bee - Honey","S",58,"96",2622,"StudyProc3","Bee - ?","honey",2976
"D_JOL C 2",115,1,"BlockProc1","Block1",75,"Child - Baby","S",59,"94",3937,"StudyProc3","Child - ?","baby",2223
"D_JOL C 2",115,1,"BlockProc1","Block1",14,"Round - Circle","S",60,"95",7680,"StudyProc3","Round - ?","circle",2642
"D_JOL C 2",115,1,"BlockProc1","Block1",45,"Clutter - Pusher","U",61,"10",7005,"StudyProc3","Clutter - ?","attery",13293
"D_JOL C 2",115,1,"BlockProc1","Block1",33,"Sacking - Dietary","U",62,"10",2374,"StudyProc3","Sacking - ?","packing",5240
"D_JOL C 2",115,1,"BlockProc1","Block1",52,"Hungry - Park","U",63,"40",8336,"StudyProc3","Hungry - ?","eat",18467
"D_JOL C 2",115,1,"BlockProc1","Block1",28,"Woman - Lift","U",64,"52",9052,"StudyProc3","Woman - ?","lift",3759
"D_JOL C 2",115,1,"BlockProc1","Block1",47,"Belt - Soon","U",65,"35",3914,"StudyProc3","Belt - ?","soon",2341
"D_JOL C 2",115,1,"BlockProc1","Block1",70,"Floor - Discover","U",66,"1",2717,"StudyProc3","Floor - ?","discover",4249
"D_JOL C 2",115,1,"BlockProc1","Block1",29,"Business - Death","U",67,"29",3234,"StudyProc3","Business - ?","death",3918
"D_JOL C 2",115,1,"BlockProc1","Block1",26,"Sight - Debate","U",68,"25",3074,"StudyProc3","Sight - ?","eyes",12248
"D_JOL C 2",115,1,"BlockProc1","Block1",74,"Bronze - Artery","U",69,"35",4670,"StudyProc3","Bronze - ?","silver",4205
"D_JOL C 2",115,1,"BlockProc1","Block1",27,"Hand - Fix","U",70,"38",6944,"StudyProc3","Hand - ?","fix",2642
"D_JOL C 2",115,1,"BlockProc1","Block1",83,"Position - Machine","U",71,"28",4938,"StudyProc3","Position - ?","front",12735
"D_JOL C 2",115,1,"BlockProc1","Block1",51,"Car - Happy","U",72,"67",6549,"StudyProc3","Car - ?","happy",3724
"D_JOL C 2",115,1,"BlockProc1","Block1",73,"Tuck - Allow","U",73,"33",5368,"StudyProc3","Tuck - ?","away",2615
"D_JOL C 2",115,1,"BlockProc1","Block1",79,"Lion - Art","U",74,"50",8901,"StudyProc3","Lion - ?","art",2323
"D_JOL C 2",115,1,"BlockProc1","Block1",37,"Accident - Strong","U",75,"45",6016,"StudyProc3","Accident - ?","strong",3619
"D_JOL C 2",115,1,"BlockProc1","Block1",81,"Riddle - Sugar","U",76,"19",6702,"StudyProc3","Riddle - ?","rhyme",6589
"D_JOL C 2",115,1,"BlockProc1","Block1",62,"Add - Valley","U",77,"10",2275,"StudyProc3","Add - ?","sutract",6845
"D_JOL C 2",115,1,"BlockProc1","Block1",40,"Would - Cash","U",78,"0",2187,"StudyProc3","Would - ?","could",6861
"D_JOL C 2",115,1,"BlockProc1","Block1",59,"Sick - Hide","U",79,"19",6546,"StudyProc3","Sick - ?","hide",5915
"D_JOL C 2",115,1,"BlockProc1","Block1",32,"Vase - King","U",80,"50",3731,"StudyProc3","Vase - ?","flower",5961
"D_JOL C 2",139,1,"BlockProc1","Block1",31,"Word - Sentence","F",6,"100",2511,"StudyProc3","Word - ?","phrase",3451
"D_JOL C 2",139,1,"BlockProc1","Block1",84,"Wasp - Bug","F",7,"100",1925,"StudyProc3","Wasp - ?","sting",2988
"D_JOL C 2",139,1,"BlockProc1","Block1",75,"Division - Math","F",8,"100",2535,"StudyProc3","Division - ?","from",8907
"D_JOL C 2",139,1,"BlockProc1","Block1",83,"Attorney - Law","F",9,"100",1472,"StudyProc3","Attorney - ?","general",3839
