ExperimentName,Subject,Direction,JOL,JOL_RT,recall_cue,Recall_Response,sorted_JOL_TARGET,Scored
D_JOL C 2,115,B,,3128,Dog,food,paw,0
D_JOL C 2,135,B,,4820,Cold,hot,bitter,0
D_JOL C 2,135,B,,9687,Money,bank,wage,0
D_JOL C 2,115,S,100,3290,Soda,pop,pop,1
D_JOL C 2,115,S,100,2945,Salad,lettuce,lettuce,1
D_JOL C 2,139,F,100,2363,Enough,more,full,0
D_JOL C 2,139,F,100,1856,Sip,drink,drink,1
D_JOL C 2,139,F,100,2602,Cave,chore,dark,0
D_JOL C 2,139,F,100,1696,Seize,run,take,0
D_JOL C 2,139,F,100,2234,Growth,big,height,0
D_JOL C 2,139,F,100,2511,Word,phrase,sentence,0
D_JOL C 2,139,F,100,1925,Wasp,sting,bug,0
D_JOL C 2,139,F,100,2535,Division,from,math,0
D_JOL C 2,139,F,100,1472,Attorney,general,law,0
D_JOL C 2,139,F,100,2715,Fantastic,good,great,0
D_JOL C 2,139,F,100,1312,Chili,hot,hot,1
D_JOL C 2,139,F,100,4149,Racket,ball,ball,1
D_JOL C 2,139,F,100,3283,Chore,work,work,1
D_JOL C 2,139,F,100,2785,Famine,hunger,hunger,1
D_JOL C 2,139,F,100,2226,Stench,smell,smell,1
D_JOL C 2,139,F,100,3687,Pilot,driver,plane,0
D_JOL C 2,139,F,100,2480,Blaze,fire,fire,1
D_JOL C 2,139,B,100,2540,Bad,good,delinquent,0
D_JOL C 2,139,B,100,3702,Money,wealth,wage,0
D_JOL C 2,139,B,100,2481,Hammer,nail,chisel,0
D_JOL C 2,139,B,100,3772,News,fake,editor,0
D_JOL C 2,139,B,100,2476,Sting,wasp,hornet,0
D_JOL C 2,139,B,100,2808,Cold,warm,bitter,0
D_JOL C 2,139,B,100,2493,Plant,gree,root,0
D_JOL C 2,139,B,100,3093,Bird,tree,swan,0
D_JOL C 2,139,B,100,4199,Out,from,way,0
D_JOL C 2,139,B,100,1949,Clean,chore,hygiene,0
D_JOL C 2,139,B,100,2343,Water,flow,bridge,0
D_JOL C 2,139,B,100,3128,Talk,speak,discussion,0
