ExperimentName,Subject,Direction,JOL,JOL_RT,recall_cue,Recall_Response,sorted_JOL_TARGET,Scored
D_JOL C 2,139,B,100,2402,Flower,leaf,orchid,0
D_JOL C 2,139,B,100,5160,Fish,tail,tuna,0
D_JOL C 2,139,S,100,1711,Amount,more,number,0
D_JOL C 2,139,S,100,1837,Assignment,due,due,1
D_JOL C 2,139,S,100,2359,Site,mai,location,0
D_JOL C 2,139,S,100,1433,Waste,timr,dump,0
D_JOL C 2,139,S,100,3065,Jury,silent,trial,0
D_JOL C 2,139,S,100,3135,Design,idea,architecture,0
D_JOL C 2,139,S,100,3268,Bar,jump,grill,0
D_JOL C 2,139,S,100,4516,Liver,day,kidney,0
D_JOL C 2,139,S,100,2803,Wind,chime,blow,0
D_JOL C 2,139,S,100,2540,Soda,pop,pop,1
D_JOL C 2,139,S,100,1334,Cheese,string,wine,0
D_JOL C 2,139,S,100,2175,Toilet,water,bathroom,0
D_JOL C 2,139,S,100,1487,Decision,making,choice,0
D_JOL C 2,139,S,100,1086,Foot,shoe,shoe,1
D_JOL C 2,139,S,100,2988,Future,past,past,1
D_JOL C 2,139,S,100,2012,Salad,leaf,lettuce,0
D_JOL C 2,139,S,100,2979,Bee,joney,honey,1
D_JOL C 2,139,S,100,2388,Child,kid,baby,0
D_JOL C 2,139,S,100,1463,Round,circle,circle,1
D_JOL C 2,139,U,100,3321,Clutter,clean,pusher,0
D_JOL C 2,139,U,100,5926,Sacking,leaving,dietary,0
D_JOL C 2,139,U,100,2803,Hungry,empty,park,0
D_JOL C 2,139,U,100,2268,Woman,girl,lift,0
D_JOL C 2,139,U,100,2232,Belt,brown,soon,0
D_JOL C 2,139,U,100,2066,Floor,eght,discover,0
D_JOL C 2,139,U,100,4415,Business,bad,death,0
D_JOL C 2,139,U,100,1365,Sight,song,debate,0
D_JOL C 2,139,U,100,2324,Bronze,tough,artery,0
D_JOL C 2,139,U,100,3764,Hand,hold,fix,0
D_JOL C 2,139,U,100,2120,Position,year,machine,0
D_JOL C 2,139,U,100,1753,Car,ride,happy,0
D_JOL C 2,139,U,100,2742,Tuck,fold,allow,0
D_JOL C 2,139,U,100,2437,Accident,report,strong,0
D_JOL C 2,139,U,100,2316,Riddle,rhyme,sugar,0
D_JOL C 2,139,U,100,3147,Add,less,valley,0
D_JOL C 2,139,U,100,2585,Would,take,cash,0
D_JOL C 2,139,U,100,1822,Sick,sneeze,hide,0
D_JOL C 2,139,U,100,2405,Vase,tme,king,0
D_JOL C 2,139,S,100,2378,Lonely,sad,alone,0
D_JOL C 2,131,F,100,3295,Sip,drink,drink,1
D_JOL C 2,131,F,100,2152,Cave,bear,dark,0
D_JOL C 2,131,F,100,4656,Seize,take,take,1
D_JOL C 2,131,F,100,5218,Growth,shrink,height,0
D_JOL C 2,131,F,100,2326,Word,day,sentence,0
D_JOL C 2,131,F,100,2608,Wasp,sting,bug,0
D_JOL C 2,131,F,100,3093,Division,math,math,1
D_JOL C 2,131,F,100,2097,Attorney,ba,law,0
D_JOL C 2,131,F,100,2415,Fantastic,great,great,1
D_JOL C 2,131,F,100,2899,Latch,key,key,1
D_JOL C 2,131,F,100,2620,Chili,hot,hot,1
D_JOL C 2,131,F,100,2221,Racket,ball,ball,1
D_JOL C 2,131,F,100,1842,Chore,duty,work,0
D_JOL C 2,131,F,100,2667,Famine,hungry,hunger,0
D_JOL C 2,131,F,100,2416,Stench,smell,smell,1
D_JOL C 2,131,F,100,2151,Pilot,plane,plane,1
D_JOL C 2,131,F,100,1860,Blaze,fire,fire,1
D_JOL C 2,131,B,100,2250,Bad,good,delinquent,0
D_JOL C 2,131,B,100,3750,Stomach,back,digestion,0
D_JOL C 2,131,B,100,1871,Money,amount,wage,0
D_JOL C 2,131,B,100,2789,Sting,stench,hornet,0
D_JOL C 2,131,B,100,2444,Cold,sick,bitter,0
D_JOL C 2,131,B,100,2355,Plant,flowe,root,0
D_JOL C 2,131,B,100,2482,Bird,nest,swan,0
D_JOL C 2,131,B,100,2395,Dog,food,paw,0
D_JOL C 2,131,B,100,2296,Out,comes,way,0
D_JOL C 2,131,B,100,2046,Rock,hard,geology,0
D_JOL C 2,131,B,100,1539,Talk,alot,discussion,0
D_JOL C 2,131,B,100,4706,Card,swipe,credit,0
D_JOL C 2,131,B,100,3533,Flower,child,orchid,0
D_JOL C 2,131,B,100,2076,Fish,tuna,tuna,1
D_JOL C 2,131,S,100,3479,Waste,good,dump,0
D_JOL C 2,131,S,100,1907,Jury,attorney,trial,0
D_JOL C 2,131,S,100,3672,Design,architect,architecture,0
D_JOL C 2,131,S,100,3559,Bar,lift,grill,0
D_JOL C 2,131,S,100,4172,Liver,kidney,kidney,1
D_JOL C 2,131,S,100,6920,End,begin,begin,1
D_JOL C 2,131,S,100,2617,Wind,breaker,blow,0
D_JOL C 2,131,S,100,1928,Toilet,tubb,bathroom,0
D_JOL C 2,131,S,100,5046,Decision,made,choice,0
D_JOL C 2,131,S,100,4498,Foot,toe,shoe,0
D_JOL C 2,131,S,100,2556,Future,past,past,1
D_JOL C 2,131,S,100,4819,Salad,healthy,lettuce,0
D_JOL C 2,131,S,100,2024,Bee,honey,honey,1
D_JOL C 2,131,S,100,2304,Child,flower,baby,0
D_JOL C 2,131,U,100,2945,Woman,man,lift,0
D_JOL C 2,131,U,100,2329,Belt,latch,soon,0
D_JOL C 2,131,U,100,3553,Business,meeting,death,0
D_JOL C 2,131,U,100,2830,Sight,scene,debate,0
D_JOL C 2,131,U,100,1399,Bronze,gold,artery,0
D_JOL C 2,131,U,100,4048,Hand,made,fix,0
D_JOL C 2,131,U,100,2878,Tuck,uder,allow,0
D_JOL C 2,131,U,100,2772,Lion,king,art,0
D_JOL C 2,131,U,100,2721,Accident,car,strong,0
D_JOL C 2,131,U,100,3122,Riddle,game,sugar,0
D_JOL C 2,131,U,100,6311,Sick,cold,hide,0
D_JOL C 2,135,F,100,3613,Racket,ball,ball,1
D_JOL C 2,135,B,100,1959,Rock,medicine,geology,0
D_JOL C 2,135,S,100,3573,Bee,honey,honey,1
D_JOL C 2,131,F,100,1171,Windsield,wiper,,0
D_JOL C 2,131,F,100,2295,Actress,movie,star,0
D_JOL C 2,131,F,100,3483,Thimble,tick,thread,0
D_JOL C 2,131,F,100,3550,Strawberry,fruit,fruit,1
D_JOL C 2,131,F,100,3510,Favorite,show,best,0
D_JOL C 2,131,F,100,3563,Breakable,unbreakable,glass,0
D_JOL C 2,131,F,100,4210,Sardine,tuna,fish,0
D_JOL C 2,131,F,100,5223,League,baseball,baseball,1
D_JOL C 2,131,F,100,9129,Brawl,down,fight,0
D_JOL C 2,131,B,100,2991,Long,hair,extension,0
D_JOL C 2,131,B,100,3614,Tie,shoe,shoelace,0
D_JOL C 2,131,B,100,8445,End,begin,begin,1
D_JOL C 2,131,B,100,1337,Dog,food,paw,0
D_JOL C 2,131,B,100,3588,Trash,ba,litter,0
D_JOL C 2,131,B,100,4672,Cut,ties,chop,0
D_JOL C 2,131,B,100,2202,Eat,ou,dine,0
D_JOL C 2,131,B,100,1541,Scissors,cut,shears,0
D_JOL C 2,131,B,100,5079,Fight,calm,feud,0
D_JOL C 2,131,B,100,3007,Love,hate,affection,0
D_JOL C 2,131,S,100,4600,Shave,head,razor,0
D_JOL C 2,131,S,100,5709,Jar,mustard,mason,0
D_JOL C 2,131,S,100,2817,Bracelet,chai,wrist,0
D_JOL C 2,131,S,100,1952,Away,near,gone,0
D_JOL C 2,131,S,100,2793,Ground,beef,earth,0
D_JOL C 2,131,S,100,4773,Lonely,alone,alone,1
D_JOL C 2,131,S,100,3173,Wet,clother,dry,0
D_JOL C 2,131,S,100,3622,Lie,down,truth,0
D_JOL C 2,131,S,100,2115,Communication,talk,phone,0
D_JOL C 2,131,S,100,6708,Reel,fish,rod,0
D_JOL C 2,131,U,100,3256,Tan,pale,sun,0
D_JOL C 2,131,U,100,2380,Election,year,maze,0
D_JOL C 2,131,U,100,4324,Joke,play,keys,0
D_JOL C 2,131,U,100,4813,Children,play,mirror,0
D_JOL C 2,131,U,100,2631,Main,street,scar,0
D_JOL C 2,143,F,100,1878,Drowsy,sleepy,sleep,0
D_JOL C 2,151,F,100,1914,Enough,,full,0
D_JOL C 2,151,F,100,2943,Sip,drink,drink,1
D_JOL C 2,151,F,100,1754,Cave,dark,dark,1
D_JOL C 2,151,F,100,2450,Seize,take,take,1
D_JOL C 2,151,F,100,1911,Growth,height,height,1
D_JOL C 2,151,F,100,2922,Word,,sentence,0
D_JOL C 2,151,F,100,2014,Wasp,sting,bug,0
D_JOL C 2,151,F,100,2147,Division,subtraction,math,0
D_JOL C 2,151,F,100,2501,Attorney,court,law,0
D_JOL C 2,151,F,100,1676,Fantastic,amazing,great,0
D_JOL C 2,151,F,100,3023,Latch,,key,0
D_JOL C 2,151,F,100,2670,Chili,hot,hot,0
D_JOL C 2,151,F,100,2952,Racket,ball,ball,1
D_JOL C 2,151,F,100,2134,Chore,,work,0
D_JOL C 2,151,F,100,2256,Famine,hunger,hunger,0
D_JOL C 2,151,F,100,2160,Drowsy,tire,sleep,0
D_JOL C 2,151,F,100,2467,Attire,clothes,clothes,1
D_JOL C 2,151,F,100,2318,Pilot,plane,plane,1
D_JOL C 2,151,F,100,1792,Blaze,fire,fire,1
D_JOL C 2,151,B,100,3113,Bad,news,delinquent,0
D_JOL C 2,151,B,100,2578,Stomach,full,digestion,0
D_JOL C 2,151,B,100,4390,Money,amount,wage,0
D_JOL C 2,151,B,100,1952,Hammer,nail,chisel,0
D_JOL C 2,151,B,100,4673,News,old,editor,0
D_JOL C 2,151,B,100,1779,Sting,hornet,hornet,1
D_JOL C 2,151,B,100,1976,Cold,war,bitter,0
D_JOL C 2,151,B,100,1545,Plant,green,root,0
D_JOL C 2,151,B,100,2609,Bird,fly,swan,0
D_JOL C 2,151,B,100,2902,Dog,food,paw,0
D_JOL C 2,151,B,100,2105,Out,in,way,0
D_JOL C 2,151,B,100,2167,Clean,dirty,hygiene,0
D_JOL C 2,151,B,100,3164,Water,sink,bridge,0
D_JOL C 2,151,B,100,1310,Rock,stone,geology,0
D_JOL C 2,151,B,100,1809,War,revolution,revolution,1
D_JOL C 2,151,B,100,2624,Talk,speak,discussion,0
D_JOL C 2,151,B,100,2485,Cow,moo,herd,0
D_JOL C 2,151,B,100,3638,Card,credit,credit,1
D_JOL C 2,151,B,100,3047,Flower,pot,orchid,0
D_JOL C 2,151,B,100,2255,Fish,rid,tuna,0
D_JOL C 2,151,S,100,4461,Site,place,location,0
D_JOL C 2,151,S,100,1490,Jury,judge,trial,0
D_JOL C 2,151,S,100,1671,Design,achertiey,architecture,0
D_JOL C 2,151,S,100,1573,Bar,drink,grill,0
D_JOL C 2,151,S,100,2178,Liver,stomach,kidney,0
D_JOL C 2,151,S,100,2464,End,start,begin,0
D_JOL C 2,151,S,100,2004,Wind,cold,blow,0
D_JOL C 2,151,S,100,1621,Soda,can,pop,0
D_JOL C 2,151,S,100,1632,Cheese,cake,wine,0
D_JOL C 2,151,S,100,1402,Toilet,paper,bathroom,0
D_JOL C 2,151,S,100,1404,Decision,choice,choice,1
D_JOL C 2,151,S,100,1560,Foot,loose,shoe,0
D_JOL C 2,151,S,100,2286,Future,past,past,1
D_JOL C 2,151,S,100,3447,Salad,lettece,lettuce,1
D_JOL C 2,151,S,100,2138,Bee,honey,honey,1
D_JOL C 2,151,S,100,2045,Child,children,baby,0
D_JOL C 2,151,S,100,6474,Round,circle,circle,1
D_JOL C 2,151,U,100,2853,Clutter,mess,pusher,0
D_JOL C 2,151,U,100,2087,Sacking,,dietary,0
D_JOL C 2,151,U,100,2902,Woman,girl,lift,0
D_JOL C 2,151,U,100,2712,Belt,buckle,soon,0
D_JOL C 2,151,U,100,1976,Floor,ground,discover,0
D_JOL C 2,151,U,100,3712,Business,suit,death,0
D_JOL C 2,151,U,100,2238,Sight,eye,debate,0
D_JOL C 2,151,U,100,1747,Bronze,medal,artery,0
D_JOL C 2,151,U,100,2590,Hand,arm,fix,0
D_JOL C 2,151,U,100,7104,Position,place,machine,0
D_JOL C 2,151,U,100,2538,Car,,happy,0
D_JOL C 2,151,U,100,1411,Tuck,,allow,0
D_JOL C 2,151,U,100,6377,Lion,roar,art,0
D_JOL C 2,151,U,100,2273,Accident,car,strong,0
D_JOL C 2,151,U,100,4351,Riddle,,sugar,0
D_JOL C 2,151,U,100,1456,Add,subtract,valley,0
D_JOL C 2,151,U,100,2384,Would,could,cash,0
D_JOL C 2,151,U,100,1804,Sick,healthy,hide,0
D_JOL C 2,151,U,100,1403,Vase,plant,king,0
D_JOL C 2,143,S,100,1554,Reel,fish,rod,0
D_JOL C 2,151,F,100,2620,Windsield,wiper,NA,0
D_JOL C 2,151,F,100,2240,Actress,actor,star,0
D_JOL C 2,151,F,100,2163,Revenge,spiteful,even,0
D_JOL C 2,151,F,100,1529,Strawberry,shortcake,fruit,0
D_JOL C 2,151,F,100,1394,Favorite,pie,best,0
D_JOL C 2,151,F,100,1952,Panther,cat,cat,1
D_JOL C 2,151,F,100,1651,Coffin,death,dead,0
D_JOL C 2,151,F,100,2821,Aircraft,carrier,plane,0
D_JOL C 2,151,F,100,1221,Sardine,tuna,fish,0
D_JOL C 2,151,F,100,1998,League,football,baseball,0
D_JOL C 2,151,F,100,1843,Banker,bank,money,0
D_JOL C 2,151,F,100,1294,Truthful,FALSE,honest,0
D_JOL C 2,151,F,100,1188,Nap,sleep,sleep,1
D_JOL C 2,151,F,100,2826,Brawl,fught,fight,0
D_JOL C 2,151,B,100,1285,Long,extendedf,extension,0
D_JOL C 2,151,B,100,2013,Game,video,clue,0
D_JOL C 2,151,B,100,2230,Plant,green,root,0
D_JOL C 2,151,B,100,1307,Tie,rop,shoelace,0
D_JOL C 2,151,B,100,1329,Mystery,va,detective,0
D_JOL C 2,151,B,100,1593,End,start,begin,0
D_JOL C 2,151,B,100,2039,Dog,food,paw,0
D_JOL C 2,151,B,100,1715,Red,blue,cherry,0
D_JOL C 2,151,B,100,2346,Head,skull,scalp,0
D_JOL C 2,151,B,100,1131,Car,seat,happy,0
D_JOL C 2,151,B,100,2336,Donkey,mule,mule,1
D_JOL C 2,151,B,100,1519,Paper,cut,document,0
D_JOL C 2,151,B,100,2006,Smell,nose,incense,0
D_JOL C 2,151,B,100,1256,Eat,dinner,dine,0
D_JOL C 2,151,B,100,2686,Scissors,cut,shears,0
D_JOL C 2,151,B,100,1871,Fight,brawel,feud,0
D_JOL C 2,151,B,100,1442,Cold,winter,bitter,0
D_JOL C 2,151,B,100,1928,Love,hate,affection,0
D_JOL C 2,151,S,100,1015,Equal,same,rights,0
D_JOL C 2,151,S,100,1220,Jar,macent,mason,0
D_JOL C 2,151,S,100,1667,Bracelet,ban,wrist,0
D_JOL C 2,151,S,100,2067,Carbon,black,element,0
D_JOL C 2,151,S,100,1191,Away,gone,gone,1
D_JOL C 2,151,S,100,2165,Drink,drinks,water,0
D_JOL C 2,151,S,100,1566,Ground,floor,earth,0
D_JOL C 2,151,S,100,1290,Lonely,alone,alone,1
D_JOL C 2,151,S,100,1641,Seatbelt,buckle,safety,0
D_JOL C 2,151,S,100,2259,Lie,TRUE,truth,1
D_JOL C 2,151,S,100,2079,Communication,line,phone,0
D_JOL C 2,151,S,100,1522,Reel,fishing,rod,0
D_JOL C 2,151,S,100,1317,Tick,tok,flea,0
D_JOL C 2,151,S,100,3001,Have,own,own,1
D_JOL C 2,151,U,100,1498,Tan,line,sun,0
D_JOL C 2,151,U,100,1225,Maroon,msu,justice,0
D_JOL C 2,151,U,100,2531,Cloth,winer,stretch,0
D_JOL C 2,151,U,100,2798,Steak,burger,give,0
D_JOL C 2,151,U,100,1555,Election,day,maze,0
D_JOL C 2,151,U,100,1137,Charm,charming,vehicle,0
D_JOL C 2,151,U,100,1715,Obtain,gather,meat,0
D_JOL C 2,151,U,100,1577,Able,can,crackle,0
D_JOL C 2,151,U,100,1823,Shake,bake,shell,0
D_JOL C 2,151,U,100,1265,Fiction,FALSE,listen,0
D_JOL C 2,151,U,100,2473,Joke,clown,keys,0
D_JOL C 2,151,U,100,1291,Clothes,summe,NA,0
D_JOL C 2,151,S,100,1120,Hate,hateded,name,0
D_JOL C 2,151,U,100,1191,Bang,boom,fuzzy,0
D_JOL C 2,151,U,100,1356,Clear,sky,moat,0
D_JOL C 2,151,U,100,991,Toil,bowel,lease,0
D_JOL C 2,151,U,100,1810,Sign,parking,loan,0
D_JOL C 2,151,U,100,2540,Ounce,gram,both,0
D_JOL C 2,151,U,100,1862,Children,,mirror,0
D_JOL C 2,151,U,100,1426,Main,screen,scar,0
D_JOL C 2,116,F,100,2908,Enough,plenty,full,0
D_JOL C 2,116,F,100,3018,Sip,water,drink,0
D_JOL C 2,116,F,100,2528,Cave,man,dark,0
D_JOL C 2,116,F,100,3865,Seize,conqueor,take,0
D_JOL C 2,116,F,100,3249,Word,text,sentence,0
D_JOL C 2,116,F,100,2813,Wasp,sting,bug,0
D_JOL C 2,116,F,100,2698,Division,addition,math,0
D_JOL C 2,116,F,100,4808,Attorney,witness,law,0
D_JOL C 2,116,F,100,3078,Fantastic,happy,great,0
D_JOL C 2,116,F,100,2966,Latch,lock,key,0
D_JOL C 2,116,F,100,3392,Racket,ball,ball,1
D_JOL C 2,116,F,100,2985,Chore,job,work,0
D_JOL C 2,116,F,100,2512,Famine,hungry,hunger,1
D_JOL C 2,116,F,100,3305,Drowsy,sleepy,sleep,1
D_JOL C 2,116,F,100,2718,Stench,smell,smell,1
D_JOL C 2,116,F,100,2686,Attire,clothes,clothes,1
D_JOL C 2,116,F,100,2876,Pilot,plane,plane,1
D_JOL C 2,116,B,100,2311,Bad,good,delinquent,0
D_JOL C 2,116,B,100,2784,Stomach,digestion,digestion,1
D_JOL C 2,116,B,100,2440,Money,cash,wage,0
D_JOL C 2,116,B,100,2858,Hammer,tool,chisel,0
D_JOL C 2,116,B,100,5211,News,weather,editor,0
D_JOL C 2,116,B,100,3790,Sting,bee,hornet,0
D_JOL C 2,116,B,100,2938,Cold,freezing,bitter,0
D_JOL C 2,116,B,100,2677,Bird,song,swan,0
D_JOL C 2,116,B,100,2677,Out,side,way,0
D_JOL C 2,116,B,100,2656,Clean,room,hygiene,0
D_JOL C 2,116,B,100,5988,Water,cycle,bridge,0
D_JOL C 2,116,B,100,2384,Rock,mountain,geology,0
D_JOL C 2,116,B,100,2356,Talk,happy,discussion,0
D_JOL C 2,116,B,100,2788,Cow,milk,herd,0
D_JOL C 2,116,B,100,3188,Flower,orchard,orchid,1
D_JOL C 2,116,B,100,2289,Fish,line,tuna,0
D_JOL C 2,116,S,100,4521,Amount,money,number,0
D_JOL C 2,116,S,100,3072,Jury,judge,trial,0
D_JOL C 2,116,S,100,3494,Design,dress,architecture,0
D_JOL C 2,116,S,100,2307,Bar,table,grill,0
D_JOL C 2,116,S,100,2705,Liver,stomach,kidney,0
D_JOL C 2,116,S,100,2589,End,begin,begin,1
D_JOL C 2,116,S,100,4039,Wind,sky,blow,0
D_JOL C 2,116,S,100,3112,Soda,can,pop,0
D_JOL C 2,116,S,100,2727,Cheese,wine,wine,1
D_JOL C 2,116,S,100,6788,Toilet,paper,bathroom,0
D_JOL C 2,116,S,100,2705,Foot,shoe,shoe,1
D_JOL C 2,116,S,100,2521,Future,past,past,1
D_JOL C 2,116,S,100,2278,Salad,lettuce,lettuce,1
D_JOL C 2,116,S,100,2649,Bee,sting,honey,0
D_JOL C 2,116,S,100,2197,Round,circle,circle,1
D_JOL C 2,116,U,100,4202,Clutter,mess,pusher,0
D_JOL C 2,116,U,100,2925,Sacking,wood,dietary,0
D_JOL C 2,116,U,100,3964,Floor,wall,discover,0
D_JOL C 2,116,U,100,4001,Sight,sound,debate,0
D_JOL C 2,116,U,100,3375,Position,front,machine,0
D_JOL C 2,116,U,100,2859,Car,motor,happy,0
D_JOL C 2,116,U,100,2996,Add,subtract,valley,0
D_JOL C 2,116,U,100,5345,Would,ask,cash,0
D_JOL C 2,116,U,100,2921,Sick,ill,hide,0
D_JOL C 2,116,U,100,2553,Vase,fragile,king,0
D_JOL C 2,119,F,100,3693,Enough,end,full,0
D_JOL C 2,119,F,100,2055,Sip,drink,drink,1
D_JOL C 2,119,F,100,2504,Cave,dark,dark,1
D_JOL C 2,119,F,100,2350,Seize,sick,take,0
D_JOL C 2,119,F,100,3309,Wasp,bee,bug,0
D_JOL C 2,119,F,100,1649,Attorney,law,law,1
D_JOL C 2,119,F,100,1963,Latch,on,key,0
D_JOL C 2,119,F,100,2662,Chili,hot,hot,1
D_JOL C 2,119,F,100,2180,Racket,ball,ball,1
D_JOL C 2,119,F,100,2188,Chore,work,work,1
D_JOL C 2,119,F,100,2011,Famine,hungry,hunger,1
D_JOL C 2,119,F,100,5999,Stench,smell,smell,1
D_JOL C 2,119,F,100,2030,Attire,clothes,clothes,1
D_JOL C 2,119,F,100,2491,Pilot,plane,plane,1
D_JOL C 2,119,F,100,2961,Blaze,fire,fire,1
D_JOL C 2,119,B,100,3171,Bad,worse,delinquent,0
D_JOL C 2,119,B,100,4237,Stomach,pain,digestion,0
D_JOL C 2,119,B,100,3330,Money,amount,wage,0
D_JOL C 2,119,B,100,2019,Hammer,chisel,chisel,1
D_JOL C 2,119,B,100,1854,News,editor,editor,1
D_JOL C 2,119,B,100,7383,Cold,hot,bitter,0
D_JOL C 2,119,B,100,1967,Plant,seed,root,0
D_JOL C 2,119,B,100,3664,Dog,food,paw,0
D_JOL C 2,119,B,100,8108,Out,in,way,0
D_JOL C 2,119,B,100,2053,Water,drink,bridge,0
D_JOL C 2,119,B,100,2900,Rock,geology,geology,1
D_JOL C 2,119,B,100,2572,War,revolution,revolution,1
D_JOL C 2,119,B,100,2553,Talk,converse,discussion,0
D_JOL C 2,119,B,100,2285,Cow,heard,herd,1
D_JOL C 2,119,B,100,5416,Card,credit,credit,1
D_JOL C 2,119,B,100,2130,Flower,plant,orchid,0
D_JOL C 2,119,B,100,1883,Fish,tuna,tuna,1
D_JOL C 2,119,S,100,2636,Waste,mess,dump,0
D_JOL C 2,119,S,100,3193,Jury,judge,trial,0
D_JOL C 2,119,S,100,2008,Design,architecture,architecture,1
D_JOL C 2,119,S,100,2401,Bar,grill,grill,1
D_JOL C 2,119,S,100,2022,Liver,kidney,kidney,1
D_JOL C 2,119,S,100,2626,Wind,blow,blow,1
D_JOL C 2,119,S,100,2881,Soda,pop,pop,1
D_JOL C 2,119,S,100,3944,Cheese,wine,wine,1
D_JOL C 2,119,S,100,1675,Decision,choice,choice,1
D_JOL C 2,119,S,100,3196,Foot,shoe,shoe,1
D_JOL C 2,119,S,100,2626,Salad,lettuce,lettuce,1
D_JOL C 2,119,S,100,2272,Bee,honey,honey,1
D_JOL C 2,119,S,100,3352,Child,baby,baby,1
D_JOL C 2,119,S,100,2840,Round,circle,circle,1
D_JOL C 2,119,U,100,2595,Clutter,mess,pusher,0
D_JOL C 2,119,U,100,2403,Sacking,still,dietary,0
D_JOL C 2,119,U,100,1885,Hungry,food,park,0
D_JOL C 2,119,U,100,3973,Woman,lift,lift,1
D_JOL C 2,119,U,100,2792,Belt,starting,soon,0
D_JOL C 2,119,U,100,2502,Business,death,death,1
D_JOL C 2,119,U,100,2054,Sight,seen,debate,0
D_JOL C 2,119,U,100,2118,Hand,fix,fix,1
D_JOL C 2,119,U,100,2301,Car,happy,happy,1
D_JOL C 2,119,U,100,1781,Lion,art,art,1
D_JOL C 2,119,U,100,3344,Would,will,cash,0
D_JOL C 2,119,U,100,2682,Sick,seize,hide,0
D_JOL C 2,119,U,100,9698,Vase,king,king,1
D_JOL C 2,123,F,100,1587,Racket,,ball,0
D_JOL C 2,123,F,100,5253,Famine,hungry,hunger,1
D_JOL C 2,123,B,100,4098,Cow,field,herd,0
D_JOL C 2,123,S,100,3226,Site,,location,0
D_JOL C 2,123,S,100,3011,Liver,body,kidney,0
D_JOL C 2,123,S,100,3125,End,begin,begin,1
D_JOL C 2,123,S,100,15349,Soda,pop,pop,1
D_JOL C 2,123,S,100,7124,Future,present,past,0
D_JOL C 2,123,S,100,2436,Salad,lettuce,lettuce,1
D_JOL C 2,123,S,100,3124,Child,adult,baby,0
D_JOL C 2,127,F,100,6450,Cave,dark,dark,1
D_JOL C 2,127,F,100,2145,Seize,take,take,1
D_JOL C 2,127,F,100,3208,Attorney,law,law,1
D_JOL C 2,127,F,100,3709,Fantastic,great,great,1
D_JOL C 2,127,F,100,5694,Latch,key,key,1
D_JOL C 2,127,F,100,2907,Stench,smell,smell,1
D_JOL C 2,127,F,100,1794,Attire,clothes,clothes,1
D_JOL C 2,127,F,100,5064,Pilot,plane,plane,1
D_JOL C 2,127,B,100,5399,Bad,delinquent,delinquent,1
D_JOL C 2,127,B,100,2938,Clean,hygiene,hygiene,1
D_JOL C 2,127,B,100,4761,Cow,,herd,0
D_JOL C 2,127,S,100,42063,Assignment,due,due,1
D_JOL C 2,127,S,100,3087,Waste,dump,dump,1
D_JOL C 2,127,S,100,9055,Soda,pop,pop,1
D_JOL C 2,127,S,100,4410,Cheese,wine,wine,1
D_JOL C 2,127,S,100,2397,Future,past,past,1
D_JOL C 2,116,F,100,8236,Nap,sleep,sleep,1
D_JOL C 2,119,F,100,1259,Windsield,car,NA,0
D_JOL C 2,119,F,100,2383,Villian,bad,NA,0
D_JOL C 2,119,F,100,2023,Penguin,bird,bird,1
D_JOL C 2,119,F,100,1264,Actress,star,star,1
D_JOL C 2,119,F,100,2062,Revenge,beat,even,0
D_JOL C 2,119,F,100,1278,Balloon,pop,pop,1
