ExperimentName,Subject,Direction,JOL,JOL_RT,recall_cue,Recall_Response,sorted_JOL_CUE,sorted_JOL_TARGET,percent_match,scored
D_JOL C 2,135,B,,4820,Cold,hot,Cold,bitter,0,0
D_JOL C 2,135,B,,9687,Money,bank,Money,wage,0,0
D_JOL A 2,133,F,100,3578,Way,out,Way,out,100,1
D_JOL A 2,133,F,100,6090,Geology,rock,Geology,rock,100,1
D_JOL A 2,133,S,100,3891,Grill,meat,Grill,bar,0,0
D_JOL A 2,133,S,100,4062,Begin,end,Begin,end,100,1
D_JOL A 2,133,S,100,4998,Past,future,Past,future,100,1
D_JOL A 2,133,S,100,2381,Circle,round,Circle,round,100,1
D_JOL A 2,137,B,100,2464,Sleep,wake,Sleep,drowsy,0,0
D_JOL A 2,137,S,100,1304,Honey,bee,Honey,bee,100,1
D_JOL A 2,133,S,100,4678,Candle,wax,Candle,wax,100,1
D_JOL A 2,133,S,100,6594,Alone,empty,Alone,lonely,0,0
D_JOL A 2,137,F,100,2683,Furry,dog,Furry,dog,100,1
D_JOL A 2,137,B,100,1230,Dead,ccoffin,Dead,coffin,0,0
D_JOL A 2,137,S,100,1614,Water,drink,Water,drink,100,1
D_JOL B 2,130,F,100,1645,Paw,dog,Paw,dog,100,1
D_JOL B 2,130,F,100,2036,Bridge,car,Bridge,water,0,0
D_JOL B 2,130,F,100,1898,Credit,card,Credit,card,100,1
D_JOL B 2,130,F,100,2240,Tuna,fish,Tuna,fish,100,1
D_JOL B 2,130,B,100,2248,Take,obtain,Take,seize,0,0
D_JOL B 2,130,B,100,2302,Smell,stench,Smell,stench,100,1
D_JOL B 2,130,S,100,3202,Due,assigmnet,Due,assignment,0,0
D_JOL B 2,130,S,100,3679,Blow,wind,Blow,wind,100,1
D_JOL B 2,130,S,100,2509,Bathroom,toliet,Bathroom,toilet,0,0
D_JOL B 2,130,S,100,1833,Honey,bee,Honey,bee,100,1
D_JOL B 2,134,F,100,2046,Paw,dog,Paw,dog,100,1
D_JOL B 2,134,F,100,1889,Bridge,water,Bridge,water,100,1
D_JOL B 2,134,S,100,2017,Location,site,Location,site,100,1
D_JOL B 2,134,S,100,3098,Begin,end,Begin,end,100,1
D_JOL B 2,134,S,100,2084,Bathroom,toilet,Bathroom,toilet,100,1
D_JOL B 2,134,S,100,2223,Past,future,Past,future,100,1
D_JOL B 2,134,S,100,2462,Honey,bee,Honey,bee,100,1
D_JOL B 2,134,S,100,1835,Circle,round,Circle,round,100,1
D_JOL B 2,138,F,100,2351,Way,out,Way,out,100,1
D_JOL B 2,138,F,100,7085,Bridge,river,Bridge,water,0,0
D_JOL B 2,138,F,100,2314,Tuna,fish,Tuna,fish,100,1
D_JOL B 2,138,B,100,3550,Height,growth,Height,growth,100,1
D_JOL B 2,138,B,100,3938,Law,attorney,Law,attorney,100,1
D_JOL B 2,138,S,100,4222,Kidney,liver,Kidney,liver,100,1
D_JOL B 2,138,S,100,1502,Bathroom,toilet,Bathroom,toilet,100,1
D_JOL B 2,138,S,100,3776,Shoe,foot,Shoe,foot,100,1
D_JOL B 2,138,S,100,930,Honey,sweet,Honey,bee,0,0
D_JOL B 2,138,S,100,5143,Baby,child,Baby,child,100,1
D_JOL B 2,138,U,100,2281,Hide,sick,Hide,sick,100,1
