ExperimentName,Subject,Direction,JOL,JOL_RT,recall_cue,Recall_Response,sorted_JOL_CUE,sorted_JOL_TARGET,percent_match,scored
D_JOL C 2,115,U,0,2187,Would,could,Would,cash,0,0
D_JOL C 2,139,U,0,1626,Clothes,stretch,NA,NA,NA,0
D_JOL D 2,136,F,0,5473,Racket,noise,Racket,ball,0,0
D_JOL D 2,136,F,0,10333,Chore,done,Chore,work,0,0
D_JOL D 2,136,F,0,2273,Blaze,hot,Blaze,fire,0,0
D_JOL D 2,136,B,0,6802,Money,bank,Money,wage,0,0
D_JOL D 2,136,B,0,25911,Sting,hornet,Sting,hornet,100,1
D_JOL D 2,136,B,0,8465,Dog,furry,Dog,paw,0,0
D_JOL D 2,136,B,0,3146,Fish,tuna,Fish,tuna,100,1
D_JOL D 2,136,S,0,3280,Amount,number,Amount,number,100,1
D_JOL D 2,136,S,0,2653,Assignment,due,Assignment,due,100,1
D_JOL D 2,136,S,0,1689,Design,make,Design,architecture,0,0
D_JOL D 2,136,S,0,4675,Bar,drink,Bar,grill,0,0
D_JOL D 2,136,U,0,1433,Clutter,trash,Clutter,pusher,0,0
D_JOL D 2,136,U,0,1201,Sacking,steal,Sacking,dietary,0,0
D_JOL D 2,136,U,0,1334,Woman,nice,Woman,lift,0,0
D_JOL D 2,136,U,0,3509,Belt,pants,Belt,soon,0,0
D_JOL D 2,136,U,0,1972,Floor,ceiling,Floor,discover,0,0
D_JOL D 2,136,U,0,2105,Business,paper,Business,death,0,0
D_JOL D 2,136,U,0,3456,Sight,see,Sight,debate,0,0
D_JOL D 2,136,U,0,2427,Position,machine,Position,machine,100,1
D_JOL D 2,136,U,0,2462,Car,accident,Car,happy,0,0
D_JOL D 2,136,U,0,2763,Lion,make,Lion,art,0,0
D_JOL D 2,136,U,0,2790,Accident,car,Accident,strong,0,0
D_JOL D 2,136,U,0,2553,Add,subtract,Add,valley,0,0
D_JOL D 2,136,U,0,6189,Sick,healthy,Sick,hide,0,0
D_JOL D 2,136,U,0,2050,Vase,flower,Vase,king,0,0
D_JOL D 2,136,B,0,2953,Red,cherry,Red,cherry,100,1
D_JOL D 2,136,S,0,5679,Tick,flea,Tick,flea,100,1
D_JOL D 2,136,S,0,5487,Noise,loud,Noise,loud,100,1
D_JOL D 2,136,S,0,10577,Temper,tantrum,Temper,tantrum,100,1
D_JOL D 2,136,U,0,4482,Maroon,justice,Maroon,justice,100,1
D_JOL C 2,115,U,1,2717,Floor,discover,Floor,discover,100,1
D_JOL C 2,115,U,10,7005,Clutter,attery,Clutter,pusher,0,0
D_JOL C 2,115,U,10,2374,Sacking,packing,Sacking,dietary,0,0
D_JOL C 2,115,U,10,2275,Add,sutract,Add,valley,0,0
D_JOL C 2,139,F,10,3269,Latch,lever,Latch,key,0,0
D_JOL C 2,139,F,10,4535,Attire,dres,Attire,clothes,0,0
D_JOL C 2,139,B,10,5391,Card,hold,Card,credit,0,0
