ExperimentName,Subject,Session,Block,cue_target,Direction,ListNum,JOL,JOL RT,Block,cue_target,ListNum,Recall_Response,Scored,Recall RT
D_JOL B 2,114,1,BlockProc2,Baseball - League,B,36,57,8403,BlockProc2,Baseball - ?,36,Game,,4318
D_JOL B 2,114,1,BlockProc2,Money - Banker,B,37,74,3357,BlockProc2,Money - ?,37,Bank,,8915
D_JOL B 2,114,1,BlockProc2,Honest - Truthful,B,38,84,5788,BlockProc2,Honest - ?,38,Hopefully,,18479
D_JOL B 2,114,1,BlockProc2,Sleep - Nap,B,39,68,3570,BlockProc2,Sleep - ?,39,Night,,13172
D_JOL B 2,114,1,BlockProc2,Fight - Brawl,B,40,72,6950,BlockProc2,Fight - ?,40,Fued,,7160
D_JOL B 2,114,1,BlockProc2,Razor - Shave,S,41,69,6400,BlockProc2,Razor - ?,41,Shave,,2885
D_JOL B 2,114,1,BlockProc2,Rights - Equal,S,42,27,3326,BlockProc2,Rights - ?,42,Freedom,,15911
D_JOL B 2,114,1,BlockProc2,Mason - Jar,S,43,8,5534,BlockProc2,Mason - ?,43,Home,,11722
D_JOL B 2,114,1,BlockProc2,Candle - Wax,S,44,12,5749,BlockProc2,Candle - ?,44,Light,,5365
D_JOL B 2,114,1,BlockProc2,Wrist - Bracelet,S,45,59,13657,BlockProc2,Wrist - ?,45,Hand,,2773
D_JOL B 2,114,1,BlockProc2,Element - Carbon,S,46,21,4983,BlockProc2,Element - ?,46,Science,,13202
D_JOL B 2,114,1,BlockProc2,Gone - Away,S,47,90,4527,BlockProc2,Gone - ?,47,Away,,3970
D_JOL B 2,114,1,BlockProc2,Water - Drink,S,48,34,6833,BlockProc2,Water,48,Tank,,11889
D_JOL B 2,114,1,BlockProc2,Earth - Ground,S,49,100,4489,BlockProc2,Earth - ?,49,Ground,,3564
D_JOL B 2,114,1,BlockProc2,Alone - Lonely,S,50,89,3847,BlockProc2,Alone - ?,50,Away,,4605
D_JOL B 2,114,1,BlockProc2,Dry - Wet,S,51,58,4201,BlockProc2,Dry - ?,51,Clean,,7248
D_JOL B 2,114,1,BlockProc2,Safety - Seatbelt,S,52,38,3873,BlockProc2,Safety - ?,52,Place,,10588
D_JOL B 2,114,1,BlockProc2,Truth - Lie,S,53,5,5727,BlockProc2,Truth - ?,53,Honest,,4923
D_JOL B 2,114,1,BlockProc2,Phone - Communication,S,54,85,3841,BlockProc2,Phone - ?,54,Call,,7962
D_JOL B 2,114,1,BlockProc2,Rod - Reel,S,55,11,7492,BlockProc2,Rod - ?,55,Hit,,11605
D_JOL B 2,114,1,BlockProc2,Flea - Tick,S,56,2,5558,BlockProc2,Flea - ?,56,Run,,6945
D_JOL B 2,114,1,BlockProc2,Loud - Noise,S,57,11,8154,BlockProc2,Loud - ?,57,Sound,,2858
D_JOL B 2,114,1,BlockProc2,Own - Have,S,58,17,5507,BlockProc2,Own - ?,58,Have,,9378
D_JOL B 2,114,1,BlockProc2,Tantrum - Temper,S,59,16,7120,BlockProc2,Tantrum - ?,59,Element,,14166
D_JOL B 2,114,1,BlockProc2,Sun - Tan,S,60,74,4777,BlockProc2,Sun - ?,60,Light,,3040
D_JOL B 2,114,1,BlockProc2,Justice - Maroon,U,61,37,4596,BlockProc2,Justice - ?,61,Crime,,3899
D_JOL B 2,114,1,BlockProc2,Stretch - Cloth,U,62,32,7065,BlockProc2,Stretch - ?,62,Bed,,8859
D_JOL B 2,114,1,BlockProc2,Give - Steak,U,63,84,6370,BlockProc2,Give - ?,63,Take,,5478
D_JOL B 2,114,1,BlockProc2,Maze - Election,U,64,78,4896,BlockProc2,Maze - ?,64,Clue,,12506
D_JOL B 2,114,1,BlockProc2,Meat - Obtain,U,65,99,5026,BlockProc2,Vehicle - ?,65,Car,,2981
D_JOL B 2,114,1,BlockProc2,Crackle - Able,U,66,58,8441,BlockProc2,Meat - ?,66,Cu,,7360
D_JOL B 2,114,1,BlockProc2,Shell - Snake,U,67,87,7265,BlockProc2,Crackle - ?,67,Away,,10643
D_JOL B 2,114,1,BlockProc2,Listen - Fiction,U,68,19,8395,BlockProc2,Shell - ?,68,Fish,,6165
D_JOL B 2,114,1,BlockProc2,Keys - Joke,U,69,23,4881,BlockProc2,Listen - ?,69,Sound,,8438
D_JOL B 2,114,1,BlockProc2,Cake - Clothes,U,70,59,7391,BlockProc2,Keys - ?,70,Door,,3499
D_JOL B 2,114,1,BlockProc2,Name - Hate,U,71,14,5994,BlockProc2,Cake - ?,71,Desert,,10182
D_JOL B 2,114,1,BlockProc2,Fuzzy - Bang,U,72,12,4414,BlockProc2,Name - ?,72,Id,,6726
D_JOL B 2,114,1,BlockProc2,Moat - Clear,U,73,65,5234,BlockProc2,Fuzzy - ?,73,Soda,,2942
D_JOL B 2,114,1,BlockProc2,Lease - Toil,U,74,58,5644,BlockProc2,Moat - ?,74,Clue,,6925
D_JOL B 2,114,1,BlockProc2,Loan - Sign,U,75,64,15044,BlockProc2,Lease - ?,75,Rent,,2830
D_JOL B 2,114,1,BlockProc2,Both - Ounce,U,76,43,6945,BlockProc2,Loan - ?,76,Bank,,3758
D_JOL B 2,114,1,BlockProc2,Temperature - Morning,U,77,97,4509,BlockProc2,Both - ?,77,Together,,5247
D_JOL B 2,114,1,BlockProc2,Mirror - Children,U,78,8,6960,BlockProc2,Temperature - ?,78,Sun,,5096
D_JOL B 2,114,1,BlockProc2,Main - Scar,U,79,61,4412,BlockProc2,Mirror - ?,79,Light,,6308
D_JOL B 2,114,1,BlockProc2,Charm - Vehicle,U,80,48,3930,BlockProc2,Main - ?,80,General,,4757
D_JOL C 2,116,1,BlockProc2,Flip - Turn,F,1,30,4868,BlockProc2,Flip - ?,1,turn,,2672
D_JOL C 2,116,1,BlockProc2,Windshield - Car,F,2,30,4270,BlockProc2,Windshield - ?,2,glass,,4210
D_JOL C 2,116,1,BlockProc2,Villain - Bad,F,3,70,5232,BlockProc2,Villain - ?,3,enemy,,3291
D_JOL C 2,116,1,BlockProc2,Penguin - Bird,F,4,40,3734,BlockProc2,Penguin - ?,4,bird,,2604
D_JOL C 2,116,1,BlockProc2,Actress - Star,F,5,45,3752,BlockProc2,Actress - ?,5,star,,3348
D_JOL C 2,116,1,BlockProc2,Thimble - Thread,F,6,20,5310,BlockProc2,Thimble - ?,6,sew,,5661
D_JOL C 2,116,1,BlockProc2,Revenge - Even,F,7,20,3044,BlockProc2,Revenge - ?,7,even,,9001
D_JOL C 2,116,1,BlockProc2,Balloon - Pop,F,8,670,6915,BlockProc2,Balloon - ?,8,air,,2935
D_JOL C 2,116,1,BlockProc2,Strawberry - Fruit,F,9,40,3958,BlockProc2,Strawberry - ?,9,fruit,,3438
D_JOL C 2,116,1,BlockProc2,Favorite - Best,F,10,30,5753,BlockProc2,Favorite - ?,10,person,,9997
D_JOL C 2,116,1,BlockProc2,Panther - Cat,F,11,10,4265,BlockProc2,Panther - ?,11,cat,,2575
D_JOL C 2,116,1,BlockProc2,Breakable - Glass,F,12,20,3419,BlockProc2,Breakable - ?,12,broken,,5118
D_JOL C 2,116,1,BlockProc2,Coffin - Dead,F,13,30,2431,BlockProc2,Coffin - ?,13,dead,,2654
D_JOL C 2,116,1,BlockProc2,Aircraft - Plane,F,14,60,3643,BlockProc2,Aircraft - ?,14,plane,,2920
D_JOL C 2,116,1,BlockProc2,Sardine - Fish,F,15,40,3999,BlockProc2,Sardine - ?,15,fish,,2292
D_JOL C 2,116,1,BlockProc2,League - Baseball,F,16,40,2260,BlockProc2,League - ?,16,baseball,,4248
D_JOL C 2,116,1,BlockProc2,Banker - Money,F,17,40,2976,BlockProc2,Banker - ?,17,money,,6189
D_JOL C 2,116,1,BlockProc2,Truthful - Honest,F,18,0,14474,BlockProc2,Truthful - ?,18,honest,,2431
D_JOL C 2,116,1,BlockProc2,Nap - Sleep,F,19,100,8236,BlockProc2,Nap - ?,19,sleep,,2620
D_JOL C 2,116,1,BlockProc2,Brawl - Fight,F,20,50,6350,BlockProc2,Brawl - ?,20,fight,,3097
D_JOL C 2,116,1,BlockProc2,Long - Extension,B,21,0,2630,BlockProc2,Long - ?,21,short,,7395
D_JOL C 2,116,1,BlockProc2,Game - Clue,B,22,20,3512,BlockProc2,Game - ?,22,play,,4114
D_JOL C 2,116,1,BlockProc2,Tie - Shoelace,B,23,30,2865,BlockProc2,Plant - ?,23,tree,,3716
D_JOL C 2,116,1,BlockProc2,Mystery - Detective,B,24,40,3444,BlockProc2,Tie - ?,24,bow,,2764
D_JOL C 2,116,1,BlockProc2,End - Adjourn,B,25,0,3153,BlockProc2,Mystery - ?,25,clues,,6094
D_JOL C 2,116,1,BlockProc2,Dog - Furry,B,26,20,2914,BlockProc2,End - ?,26,begin,,2801
D_JOL C 2,116,1,BlockProc2,Trash - Litter,B,27,2,1800,BlockProc2,Dog - ?,27,food,,3706
D_JOL C 2,116,1,BlockProc2,Red - Cherry,B,28,40,2968,BlockProc2,Trash - ?,28,dispose,,4697
D_JOL C 2,116,1,BlockProc2,Head - Scalp,B,29,30,2794,BlockProc2,Red - ?,29,blue,,3558
D_JOL C 2,116,1,BlockProc2,Car - Driver,B,30,10,2442,BlockProc2,Head - ?,30,feet,,4981
D_JOL C 2,116,1,BlockProc2,Cut - Chop,B,31,10,5224,BlockProc2,Car - ?,31,vehicle,,4341
D_JOL C 2,116,1,BlockProc2,Donkey - Mule,B,32,60,3929,BlockProc2,Cut - ?,32,shear,,3151
D_JOL C 2,116,1,BlockProc2,Paper - Document,B,33,10,3472,BlockProc2,Donkey - ?,33,mule,,2145
D_JOL C 2,116,1,BlockProc2,Smell - Incense,B,34,0,3806,BlockProc2,Paper - ?,34,cut,,2222
D_JOL C 2,116,1,BlockProc2,Eat - Dine,B,35,20,3576,BlockProc2,Smell - ?,35,odor,,3618
D_JOL C 2,116,1,BlockProc2,Scissors - Shears,B,36,8,5342,BlockProc2,Eat - ?,36,drink,,3820
D_JOL C 2,116,1,BlockProc2,Fight - Feud,B,37,20,4619,BlockProc2,Scissors - ?,37,shears,,2616
D_JOL C 2,116,1,BlockProc2,Plant - Cactus,B,38,2,2246,BlockProc2,Fight - ?,38,brawl,,4432
D_JOL C 2,116,1,BlockProc2,Cold - Chill,B,39,40,3705,BlockProc2,Cold - ?,39,chill,,2571
D_JOL C 2,116,1,BlockProc2,Love - Affection,B,40,20,3255,BlockProc2,Love - ?,40,heart,,4756
D_JOL C 2,116,1,BlockProc2,Shave - Razor,S,41,50,3591,BlockProc2,Shave - ?,41,hair,,3668
D_JOL C 2,116,1,BlockProc2,Equal - Rights,S,42,80,5703,BlockProc2,Equal - ?,42,rights,,3187
D_JOL C 2,116,1,BlockProc2,Jar - Mason,S,43,30,4141,BlockProc2,Jar - ?,43,jam,,2874
D_JOL C 2,116,1,BlockProc2,Wax - Candle,S,44,40,3430,BlockProc2,Wax - ?,44,candle,,3845
D_JOL C 2,116,1,BlockProc2,Bracelet - Wrist,S,45,20,2645,BlockProc2,Bracelet - ?,45,car,,2924
D_JOL C 2,116,1,BlockProc2,Carbon - Element,S,46,30,3231,BlockProc2,Carbon - ?,46,dioxide,,3933
D_JOL C 2,116,1,BlockProc2,Away - Gone,S,47,50,4712,BlockProc2,Away - ?,47,far,,2973
D_JOL C 2,116,1,BlockProc2,Drink - Water,S,48,,1567,BlockProc2,Drink - ?,48,soda,,2963
D_JOL C 2,116,1,BlockProc2,Ground - Earth,S,49,40,3277,BlockProc2,Ground - ?,49,earth,,2580
D_JOL C 2,116,1,BlockProc2,Lonely - Alone,S,50,20,12178,BlockProc2,Lonely - ?,50,alone,,2590
D_JOL C 2,116,1,BlockProc2,Seatbelt - Safety,S,51,20,4424,BlockProc2,Wet - ?,51,water,,2738
D_JOL C 2,116,1,BlockProc2,Lie - Truth,S,52,40,4783,BlockProc2,Seatbelt - ?,52,safety,,7996
D_JOL C 2,116,1,BlockProc2,Communication - Phone,S,53,40,3407,BlockProc2,Lie - ?,53,truth,,5839
D_JOL C 2,116,1,BlockProc2,Reel - Rod,S,54,20,3602,BlockProc2,Communication - ?,54,talk,,4306
D_JOL C 2,116,1,BlockProc2,Tick - Flea,S,55,20,2359,BlockProc2,Reel - ?,55,pull,,5388
D_JOL C 2,116,1,BlockProc2,Noise - Loud,S,56,20,3784,BlockProc2,Tick - ?,56,flea,,2532
D_JOL C 2,116,1,BlockProc2,Have - Own,S,57,0,3278,BlockProc2,Noise - ?,57,sound,,2569
D_JOL C 2,116,1,BlockProc2,Temper - Tantrum,S,58,0,8889,BlockProc2,Temper - ?,58,mad,,3848
D_JOL C 2,116,1,BlockProc2,Tan - Sun,S,59,0,3124,BlockProc2,Have - ?,59,not,,2269
D_JOL C 2,116,1,BlockProc2,Maroon - Justice,U,60,10,4808,BlockProc2,Tan - ?,60,bed,,3615
D_JOL C 2,116,1,BlockProc2,Cloth - Stretch,U,61,20,3329,BlockProc2,Maroon - ?,61,five,,3013
D_JOL C 2,116,1,BlockProc2,Election - Maze,U,62,0,1845,BlockProc2,Cloth - ?,62,dress,,4088
D_JOL C 2,116,1,BlockProc2,Charm - Vehicle,U,63,5,2988,BlockProc2,Steak - ?,63,rare,,3083
D_JOL C 2,116,1,BlockProc2,Obtain - Meat,U,64,2,3034,BlockProc2,Election - ?,64,vote,,2473
D_JOL C 2,116,1,BlockProc2,Able - Crackle,U,65,10,8806,BlockProc2,Charm - ?,65,vehicle,,7362
D_JOL C 2,116,1,BlockProc2,Shake - Shell,U,66,5,4004,BlockProc2,Obtain - ?,66,grab,,5677
D_JOL C 2,116,1,BlockProc2,Fiction - Listen,U,67,0,3021,BlockProc2,Able - ?,67,can,,2325
D_JOL C 2,116,1,BlockProc2,Joke - Keys,U,68,20,3676,BlockProc2,Shake - ?,68,milk,,9235
D_JOL C 2,116,1,BlockProc2,Hate - Name,U,69,10,3659,BlockProc2,Fiction - ?,69,nonfiction,,4667
D_JOL C 2,116,1,BlockProc2,Bang - Fuzzy,U,70,22,9185,BlockProc2,Joke - ?,70,funny,,2944
D_JOL C 2,116,1,BlockProc2,Clear - Moat,U,71,0,3257,BlockProc2,Clothes - ?,71,shirt,,4040
D_JOL C 2,116,1,BlockProc2,Wet - Dry,S,72,40,2990,BlockProc2,Hate - ?,72,envy,,3050
D_JOL C 2,116,1,BlockProc2,Steak - Give,U,73,2,2088,BlockProc2,Bang - ?,73,pow,,3993
D_JOL C 2,116,1,BlockProc2,Late - Early,U,74,0,3333,BlockProc2,Clear - ?,74,day,,4446
D_JOL C 2,116,1,BlockProc2,Toil - Lease,U,75,1,3916,BlockProc2,Toil - ?,75,foil,,4468
D_JOL C 2,116,1,BlockProc2,Sign - Loan,U,76,0,2069,BlockProc2,Sign - ?,76,walk,,8298
D_JOL C 2,116,1,BlockProc2,Ounce - Both,U,77,30,4263,BlockProc2,Ounce - ?,77,pound,,3428
D_JOL C 2,116,1,BlockProc2,Morning - Temperature,U,78,0,1837,BlockProc2,Morning - ?,78,evening,,2771
D_JOL C 2,116,1,BlockProc2,Children - Mirror,U,79,2,3451,BlockProc2,Children - ?,79,child,,5136
D_JOL C 2,116,1,BlockProc2,Main - Scar,U,80,5,6592,BlockProc2,Main - ?,80,side,,11165
D_JOL A 2,117,1,BlockProc2,Extension - Long,F,1,30,3992,BlockProc2,Extension - ?,1,long,,5970
D_JOL A 2,117,1,BlockProc2,Clue - Game,F,2,35,4115,BlockProc2,Clue - ?,2,detective,,5574
D_JOL A 2,117,1,BlockProc2,Cactus - Plant,F,3,65,2223,BlockProc2,Cactus - ?,3,plant,,2765
D_JOL A 2,117,1,BlockProc2,Shoelace - Tie,F,4,55,3887,BlockProc2,Shoelace - ?,4,tie,,4359
D_JOL A 2,117,1,BlockProc2,Detective - Mystery,F,5,40,2657,BlockProc2,Detective - ?,5,documentaries,,7407
D_JOL A 2,117,1,BlockProc2,Adjourn - End,F,6,40,1402,BlockProc2,Adjourn - ?,6,end,,13504
D_JOL A 2,117,1,BlockProc2,Furry - Dog,F,7,75,3101,BlockProc2,Furry - ?,7,ounce,,10616
D_JOL A 2,117,1,BlockProc2,Litter - Trash,F,8,70,2718,BlockProc2,Litter - ?,8,trash,,5830
D_JOL A 2,117,1,BlockProc2,Cherry - Red,F,9,80,3559,BlockProc2,Cherry - ?,9,red,,2027
D_JOL A 2,117,1,BlockProc2,Scalp - Head,F,10,55,1619,BlockProc2,Scalp - ?,10,head,,2807
D_JOL A 2,117,1,BlockProc2,Driver - Car,F,11,65,1906,BlockProc2,Driver - ?,11,car,,2186
D_JOL A 2,117,1,BlockProc2,Chop - Cut,F,12,65,2620,BlockProc2,Chop - ?,12,cut,,2995
D_JOL A 2,117,1,BlockProc2,Mule - Donkey,F,13,75,2615,BlockProc2,Mule - ?,13,donkey,,3030
D_JOL A 2,117,1,BlockProc2,Document - Paper,F,14,50,2142,BlockProc2,Document - ?,14,paper,,8314
D_JOL A 2,117,1,BlockProc2,Incense - Smell,F,15,55,2602,BlockProc2,Incense - ?,15,smell,,2706
D_JOL A 2,117,1,BlockProc2,Dine - Eat,F,16,55,5343,BlockProc2,Dine - ?,16,eat,,3820
D_JOL A 2,117,1,BlockProc2,Shears - Scissors,F,17,67,3917,BlockProc2,Shears - ?,17,scissors,,7172
D_JOL A 2,117,1,BlockProc2,Feud - Fight,F,18,40,2509,BlockProc2,Feud - ?,18,fight,,2183
D_JOL A 2,117,1,BlockProc2,Chill - Cold,F,19,65,2309,BlockProc2,Chill - ?,19,cold,,6923
D_JOL A 2,117,1,BlockProc2,Affection - Love,F,20,70,2515,BlockProc2,Affection - ?,20,lov,,3613
D_JOL A 2,117,1,BlockProc2,Turn - Flip,B,21,40,2540,BlockProc2,Turn - ?,21,around,,2831
D_JOL A 2,117,1,BlockProc2,Car - Windshield,B,22,45,3199,BlockProc2,Car - ?,22,driver,,3913
D_JOL A 2,117,1,BlockProc2,Bad - Villain,B,23,50,3962,BlockProc2,Bad - ?,23,good,,10114
D_JOL A 2,117,1,BlockProc2,Bird - Penguin,B,24,70,2640,BlockProc2,Bird - ?,24,penguin,,5408
D_JOL A 2,117,1,BlockProc2,Star - Actress,B,25,45,2627,BlockProc2,Star - ?,25,bright,,3332
D_JOL A 2,117,1,BlockProc2,Thread - Thimble,B,26,40,2851,BlockProc2,Thread - ?,26,thimble,,4380
D_JOL A 2,117,1,BlockProc2,Even - Revenge,B,27,80,6800,BlockProc2,Even - ?,27,out,,4865
D_JOL A 2,117,1,BlockProc2,Pop - Balloon,B,28,55,2299,BlockProc2,Pop - ?,28,soda,,2053
D_JOL A 2,117,1,BlockProc2,Fruit - Strawberry,B,29,30,4682,BlockProc2,Fruit - ?,29,strawberries,,6762
D_JOL A 2,117,1,BlockProc2,Best - Favorite,B,30,30,4621,BlockProc2,Best - ?,30,top,,12037
D_JOL A 2,117,1,BlockProc2,Cat - Panther,B,31,65,1991,BlockProc2,Cat - ?,31,pet,,11289
D_JOL A 2,117,1,BlockProc2,Glass - Breakable,B,32,70,3003,BlockProc2,Glass - ?,32,drink,,5828
D_JOL A 2,117,1,BlockProc2,Dead - Coffin,B,33,90,2880,BlockProc2,Dead - ?,33,coffin,,5069
D_JOL A 2,117,1,BlockProc2,Plane - Aircraft,B,34,10,4810,BlockProc2,Plane - ?,34,air,,5502
D_JOL A 2,117,1,BlockProc2,Fish - Sardine,B,35,55,2630,BlockProc2,Fish - ?,35,tun,,3766
D_JOL A 2,117,1,BlockProc2,Baseball - League,B,36,65,4665,BlockProc2,Baseball - ?,36,catcher,,7386
D_JOL A 2,117,1,BlockProc2,Money - Banker,B,37,80,1645,BlockProc2,Money - ?,37,cashj,,6389
D_JOL A 2,117,1,BlockProc2,Honest - Truthful,B,38,70,3496,BlockProc2,Honest - ?,38,truthful,,3828
D_JOL A 2,117,1,BlockProc2,Sleep - Nap,B,39,55,7392,BlockProc2,Sleep - ?,39,nap,,2026
D_JOL A 2,117,1,BlockProc2,Fight - Brawl,B,40,45,3648,BlockProc2,Fight - ?,40,fright,,12753
D_JOL A 2,117,1,BlockProc2,Razor - Shave,S,41,60,2612,BlockProc2,Razor - ?,41,shave,,2250
D_JOL A 2,117,1,BlockProc2,Rights - Equal,S,42,55,1930,BlockProc2,Rights - ?,42,law,,5458
D_JOL A 2,117,1,BlockProc2,Mason - Jar,S,43,75,5500,BlockProc2,Mason - ?,43,jar,,2105
D_JOL A 2,117,1,BlockProc2,Candle - Wax,S,44,60,2150,BlockProc2,Candle - ?,44,wax,,4982
D_JOL A 2,117,1,BlockProc2,Wrist - Bracelet,S,45,45,2150,BlockProc2,Wrist - ?,45,wath,,9355
D_JOL A 2,117,1,BlockProc2,Element - Carbon,S,46,45,1872,BlockProc2,Element - ?,46,carbon,,6034
D_JOL A 2,117,1,BlockProc2,Gone - Away,S,47,75,3048,BlockProc2,Gone - ?,47,away,,3020
D_JOL A 2,117,1,BlockProc2,Water - Drink,S,48,80,2906,BlockProc2,Water,48,wet,,10560
D_JOL A 2,117,1,BlockProc2,Earth - Ground,S,49,50,3588,BlockProc2,Earth - ?,49,ground,,3828
D_JOL A 2,117,1,BlockProc2,Alone - Lonely,S,50,0,7867,BlockProc2,Alone - ?,50,lonely,,3122
D_JOL A 2,117,1,BlockProc2,Dry - Wet,S,51,80,2337,BlockProc2,Dry - ?,51,wet,,3966
D_JOL A 2,117,1,BlockProc2,Safety - Seatbelt,S,52,70,2212,BlockProc2,Safety - ?,52,seatbelt,,3996
D_JOL A 2,117,1,BlockProc2,Truth - Lie,S,53,75,5971,BlockProc2,Truth - ?,53,lies,,6167
D_JOL A 2,117,1,BlockProc2,Phone - Communication,S,54,,2549,BlockProc2,Phone - ?,54,ring,,5815
D_JOL A 2,117,1,BlockProc2,Rod - Reel,S,55,80,2849,BlockProc2,Rod - ?,55,reel,,2243
D_JOL A 2,117,1,BlockProc2,Flea - Tick,S,56,50,2030,BlockProc2,Flea - ?,56,tick,,2128
D_JOL A 2,117,1,BlockProc2,Loud - Noise,S,57,70,2384,BlockProc2,Loud - ?,57,noise,,2457
D_JOL A 2,117,1,BlockProc2,Own - Have,S,58,45,6173,BlockProc2,Own - ?,58,have,,3139
D_JOL A 2,117,1,BlockProc2,Tantrum - Temper,S,59,35,2675,BlockProc2,Tantrum - ?,59,temper,,3113
D_JOL A 2,117,1,BlockProc2,Sun - Tan,S,60,65,3546,BlockProc2,Sun - ?,60,bright,,5955
D_JOL A 2,117,1,BlockProc2,Justice - Maroon,U,61,45,2759,BlockProc2,Justice - ?,61,law,,3236
D_JOL A 2,117,1,BlockProc2,Stretch - Cloth,U,62,55,4621,BlockProc2,Stretch - ?,62,reach,,5701
D_JOL A 2,117,1,BlockProc2,Give - Steak,U,63,35,3239,BlockProc2,Give - ?,63,take,,3408
D_JOL A 2,117,1,BlockProc2,Maze - Election,U,64,0,2697,BlockProc2,Maze - ?,64,search,,12087
D_JOL A 2,117,1,BlockProc2,Meat - Obtain,U,65,35,1431,BlockProc2,Vehicle - ?,65,car,,3484
D_JOL A 2,117,1,BlockProc2,Crackle - Able,U,66,45,2548,BlockProc2,Meat - ?,66,chicken,,23097
D_JOL A 2,117,1,BlockProc2,Shell - Snake,U,67,60,3099,BlockProc2,Crackle - ?,67,pop,,7962
D_JOL A 2,117,1,BlockProc2,Listen - Fiction,U,68,50,2583,BlockProc2,Shell - ?,68,monery,,17850
