ExperimentName,Subject,Session,Block,cue_target,Direction,ListNum,JOL,JOL RT,Block,cue_target,ListNum,Recall_Response,Scored,Recall RT
D_JOL B 2,114,1,BlockProc2,Extension - Long,F,1,14,6503,BlockProc2,Extension - ?,1,For,,23341
D_JOL B 2,114,1,BlockProc2,Clue - Game,F,2,46,6897,BlockProc2,Clue - ?,2,Key,,4886
D_JOL B 2,114,1,BlockProc2,Cactus - Plant,F,3,46,5519,BlockProc2,Cactus - ?,3,Desert,,4985
D_JOL B 2,114,1,BlockProc2,Shoelace - Tie,F,4,92,12443,BlockProc2,Shoelace - ?,4,Tie,,2578
D_JOL B 2,114,1,BlockProc2,Detective - Mystery,F,5,74,4378,BlockProc2,Detective - ?,5,Investigate,,15949
D_JOL B 2,114,1,BlockProc2,Adjourn - End,F,6,46,5110,BlockProc2,Adjourn - ?,6,Love,,7916
D_JOL B 2,114,1,BlockProc2,Furry - Dog,F,7,14,6669,BlockProc2,Furry - ?,7,Fire,,3297
D_JOL B 2,114,1,BlockProc2,Litter - Trash,F,8,92,5204,BlockProc2,Litter - ?,8,Tras,,4543
D_JOL B 2,114,1,BlockProc2,Cherry - Red,F,9,83,7292,BlockProc2,Cherry - ?,9,Pie,,7837
D_JOL B 2,114,1,BlockProc2,Scalp - Head,F,10,4,4060,BlockProc2,Scalp - ?,10,Head,,3779
D_JOL B 2,114,1,BlockProc2,Driver - Car,F,11,24,4096,BlockProc2,Driver - ?,11,Car,,2867
D_JOL B 2,114,1,BlockProc2,Chop - Cut,F,12,65,5120,BlockProc2,Chop - ?,12,Cut,,2289
D_JOL B 2,114,1,BlockProc2,Mule - Donkey,F,13,18,6720,BlockProc2,Mule - ?,13,Donkey,,4207
D_JOL B 2,114,1,BlockProc2,Document - Paper,F,14,65,3166,BlockProc2,Document - ?,14,File,,2872
D_JOL B 2,114,1,BlockProc2,Incense - Smell,F,15,22,9235,BlockProc2,Incense - ?,15,Amora,,7800
D_JOL B 2,114,1,BlockProc2,Dine - Eat,F,16,20,6035,BlockProc2,Dine - ?,16,Restaurant,,10119
D_JOL B 2,114,1,BlockProc2,Shears - Scissors,F,17,9,4255,BlockProc2,Shears - ?,17,Sword,,7776
D_JOL B 2,114,1,BlockProc2,Feud - Fight,F,18,95,6593,BlockProc2,Feud - ?,18,Fight,,3176
D_JOL B 2,114,1,BlockProc2,Chill - Cold,F,19,42,7386,BlockProc2,Chill - ?,19,Col,,4954
D_JOL B 2,114,1,BlockProc2,Affection - Love,F,20,76,8990,BlockProc2,Affection - ?,20,Love,,2613
D_JOL B 2,114,1,BlockProc2,Turn - Flip,B,21,48,5898,BlockProc2,Turn - ?,21,Slide,,6532
D_JOL B 2,114,1,BlockProc2,Car - Windshield,B,22,75,5051,BlockProc2,Car - ?,22,Door,,8056
D_JOL B 2,114,1,BlockProc2,Bad - Villain,B,23,58,5481,BlockProc2,Bad - ?,23,Crime,,4856
D_JOL B 2,114,1,BlockProc2,Bird - Penguin,B,24,88,3146,BlockProc2,Bird - ?,24,Fly,,2949
D_JOL B 2,114,1,BlockProc2,Star - Actress,B,25,28,7144,BlockProc2,Star - ?,25,Sky,,3636
D_JOL B 2,114,1,BlockProc2,Thread - Thimble,B,26,6,7811,BlockProc2,Thread - ?,26,Tie,,4238
D_JOL B 2,114,1,BlockProc2,Even - Revenge,B,27,76,3871,BlockProc2,Even - ?,27,Both,,9172
D_JOL B 2,114,1,BlockProc2,Pop - Balloon,B,28,48,4814,BlockProc2,Pop - ?,28,Jazz,,3963
D_JOL B 2,114,1,BlockProc2,Fruit - Strawberry,B,29,78,4620,BlockProc2,Fruit - ?,29,Market,,8129
D_JOL B 2,114,1,BlockProc2,Best - Favorite,B,30,17,8953,BlockProc2,Best - ?,30,Place,,10407
D_JOL B 2,114,1,BlockProc2,Cat - Panther,B,31,38,4653,BlockProc2,Cat - ?,31,Food,,5307
D_JOL B 2,114,1,BlockProc2,Glass - Breakable,B,32,93,5314,BlockProc2,Glass - ?,32,Break,,3658
D_JOL B 2,114,1,BlockProc2,Dead - Coffin,B,33,49,5081,BlockProc2,Dead - ?,33,Deaf,,10386
D_JOL B 2,114,1,BlockProc2,Plane - Aircraft,B,34,19,5841,BlockProc2,Plane - ?,34,Sky,,4340
D_JOL B 2,114,1,BlockProc2,Fish - Sardine,B,35,85,5538,BlockProc2,Fish - ?,35,Net,,3452
