"ExperimentName","Subject","Session","Procedure.Block.","Running.Block.","Trial","cue_target","Direction","ListNum","JOL","JOL_RT","Procedure.Trial.","Recall_prompt","Response","Response_RT"
"D_JOL A 2",141,1,"BlockProc1","Block1",61,"Delinquent - Bad","F",1,50,5488,"StudyProc3","Delinquent - ?","crime",4621
"D_JOL A 2",141,1,"BlockProc1","Block1",48,"Digestion - Stomach","F",2,90,2530,"StudyProc3","Digestion - ?","intestines",3643
"D_JOL A 2",141,1,"BlockProc1","Block1",27,"Wage - Money","F",3,100,5002,"StudyProc3","Wage - ?","Pay",4787
"D_JOL A 2",141,1,"BlockProc1","Block1",21,"Chisel - Hammer","F",4,100,1930,"StudyProc3","Chisel - ?","hammer",3217
"D_JOL A 2",141,1,"BlockProc1","Block1",56,"Editor - News","F",5,50,2860,"StudyProc3","Editor - ?","newspaper",3733
"D_JOL A 2",141,1,"BlockProc1","Block1",47,"Hornet - Sting","F",6,100,3338,"StudyProc3","Hornet - ?","sting",2120
"D_JOL A 2",141,1,"BlockProc1","Block1",7,"Bitter - Cold","F",7,100,4275,"StudyProc3","Bitter - ?","angry",4115
"D_JOL A 2",141,1,"BlockProc1","Block1",15,"Root - Plant","F",8,20,3347,"StudyProc3","Root - ?","onion",12462
"D_JOL A 2",141,1,"BlockProc1","Block1",26,"Swan - Bird","F",9,80,5698,"StudyProc3","Swan - ?","bird",4352
"D_JOL A 2",141,1,"BlockProc1","Block1",54,"Paw - Dog","F",10,90,1939,"StudyProc3","Paw - ?","dog",2629
"D_JOL A 2",141,1,"BlockProc1","Block1",77,"Way - Out","F",11,90,2620,"StudyProc3","Way - ?","up",3086
"D_JOL A 2",141,1,"BlockProc1","Block1",36,"Hygiene - Clean","F",12,20,2396,"StudyProc3","Hygiene - ?","bath",6157
"D_JOL A 2",141,1,"BlockProc1","Block1",10,"Bridge - Water","F",13,100,3209,"StudyProc3","Bridge - ?","Water",10548
"D_JOL A 2",141,1,"BlockProc1","Block1",71,"Geology - Rock","F",14,80,2678,"StudyProc3","Geology - ?","rocks",2189
"D_JOL A 2",141,1,"BlockProc1","Block1",58,"Revolution - War","F",15,90,2071,"StudyProc3","Revolution - ?","war",1626
"D_JOL A 2",141,1,"BlockProc1","Block1",22,"Discussion - Talk","F",16,100,3208,"StudyProc3","Discussion - ?","talk",6007
"D_JOL A 2",141,1,"BlockProc1","Block1",44,"Herd - Cow","F",17,20,10017,"StudyProc3","Herd - ?","horse",4568
"D_JOL A 2",141,1,"BlockProc1","Block1",45,"Credit - Card","F",18,90,2680,"StudyProc3","Credit - ?","card",1966
"D_JOL A 2",141,1,"BlockProc1","Block1",53,"Orchid - Flower","F",19,90,2304,"StudyProc3","Orchid - ?","flower",2097
"D_JOL A 2",141,1,"BlockProc1","Block1",41,"Tuna -  Fish","F",20,80,3993,"StudyProc3","Tuna - ?","Fish",3679
"D_JOL A 2",141,1,"BlockProc1","Block1",43,"Full - Enough","B",21,2,5955,"StudyProc3","Full - ?","big",4647
"D_JOL A 2",141,1,"BlockProc1","Block1",13,"Drink - Sip","B",22,100,2146,"StudyProc3","Drink - ?","water",2509
"D_JOL A 2",141,1,"BlockProc1","Block1",51,"Dark - Cave","B",23,90,5276,"StudyProc3","Dark - ?","light",6104
"D_JOL A 2",141,1,"BlockProc1","Block1",37,"Take - Seize","B",24,20,2058,"StudyProc3","Take - ?","care",2878
"D_JOL A 2",141,1,"BlockProc1","Block1",42,"Height - Growth","B",25,80,3041,"StudyProc3","Height - ?","weight",4363
"D_JOL A 2",141,1,"BlockProc1","Block1",66,"Sentence - Word","B",26,20,13443,"StudyProc3","Sentence - ?","period",2820
"D_JOL A 2",141,1,"BlockProc1","Block1",18,"Bug - Wasp","B",27,20,3358,"StudyProc3","Bug - ?","ant",5861
"D_JOL A 2",141,1,"BlockProc1","Block1",76,"Math - Division","B",28,90,4117,"StudyProc3","Math - ?","division",7709
"D_JOL A 2",141,1,"BlockProc1","Block1",59,"Law - Attorney","B",29,60,10442,"StudyProc3","Law - ?","attonery",7453
"D_JOL A 2",141,1,"BlockProc1","Block1",62,"Great - Fantastic","B",30,60,2715,"StudyProc3","Great - ?","pleasant",4460
"D_JOL A 2",141,1,"BlockProc1","Block1",68,"Key - Latch","B",31,70,2760,"StudyProc3","Key - ?","card",2550
"D_JOL A 2",141,1,"BlockProc1","Block1",17,"Hot - Chili","B",32,100,2723,"StudyProc3","Hot - ?","cold",2116
"D_JOL A 2",141,1,"BlockProc1","Block1",82,"Ball - Racket","B",33,20,7570,"StudyProc3","Ball - ?","basketball",3939
"D_JOL A 2",141,1,"BlockProc1","Block1",29,"Work - Chore","B",34,60,3297,"StudyProc3","Work - ?","job",3956
"D_JOL A 2",141,1,"BlockProc1","Block1",55,"Hunger - Famine","B",35,80,3028,"StudyProc3","Hunger - ?","food",2627
"D_JOL A 2",141,1,"BlockProc1","Block1",85,"Sleep - Drowsy","B",36,80,3021,"StudyProc3","Sleep - ?","aid",2989
