ExperimentName,Subject,Direction,JOL,JOL_RT,recall_cue,Recall_Response,sorted_JOL_CUE,sorted_JOL_TARGET,percent_match,scored
D_JOL C 2,115,B,,3128,Dog,food,Dog,paw,0,0
D_JOL C 2,135,B,,4820,Cold,hot,Cold,bitter,0,0
D_JOL C 2,135,B,,9687,Money,bank,Money,wage,0,0
D_JOL C 2,115,S,100,3290,Soda,pop,Soda,pop,100,1
D_JOL C 2,115,S,100,2945,Salad,lettuce,Salad,lettuce,100,1
D_JOL C 2,139,F,100,2363,Enough,more,Enough,full,0,0
D_JOL C 2,139,F,100,1856,Sip,drink,Sip,drink,100,1
D_JOL C 2,139,F,100,2602,Cave,chore,Cave,dark,0,0
D_JOL C 2,139,F,100,1696,Seize,run,Seize,take,0,0
D_JOL C 2,139,F,100,2234,Growth,big,Growth,height,0,0
D_JOL C 2,139,F,100,2511,Word,phrase,Word,sentence,0,0
D_JOL C 2,139,F,100,1925,Wasp,sting,Wasp,bug,0,0
D_JOL C 2,139,F,100,2535,Division,from,Division,math,0,0
D_JOL C 2,139,F,100,1472,Attorney,general,Attorney,law,0,0
D_JOL C 2,139,F,100,2715,Fantastic,good,Fantastic,great,0,0
D_JOL C 2,139,F,100,1312,Chili,hot,Chili,hot,100,1
D_JOL C 2,139,F,100,4149,Racket,ball,Racket,ball,100,1
D_JOL C 2,139,F,100,3283,Chore,work,Chore,work,100,1
D_JOL C 2,139,F,100,2785,Famine,hunger,Famine,hunger,100,1
D_JOL C 2,139,F,100,2226,Stench,smell,Stench,smell,100,1
D_JOL C 2,139,F,100,3687,Pilot,driver,Pilot,plane,0,0
D_JOL C 2,139,F,100,2480,Blaze,fire,Blaze,fire,100,1
D_JOL C 2,139,B,100,2540,Bad,good,Bad,delinquent,0,0
D_JOL C 2,139,B,100,3702,Money,wealth,Money,wage,0,0
D_JOL C 2,139,B,100,2481,Hammer,nail,Hammer,chisel,0,0
D_JOL C 2,139,B,100,3772,News,fake,News,editor,0,0
D_JOL C 2,139,B,100,2476,Sting,wasp,Sting,hornet,0,0
D_JOL C 2,139,B,100,2808,Cold,warm,Cold,bitter,0,0
D_JOL C 2,139,B,100,2493,Plant,gree,Plant,root,0,0
D_JOL C 2,139,B,100,3093,Bird,tree,Bird,swan,0,0
D_JOL C 2,139,B,100,4199,Out,from,Out,way,0,0
D_JOL C 2,139,B,100,1949,Clean,chore,Clean,hygiene,0,0
D_JOL C 2,139,B,100,2343,Water,flow,Water,bridge,0,0
D_JOL C 2,139,B,100,3128,Talk,speak,Talk,discussion,0,0
D_JOL C 2,139,B,100,2402,Flower,leaf,Flower,orchid,0,0
D_JOL C 2,139,B,100,5160,Fish,tail,Fish,tuna,0,0
D_JOL C 2,139,S,100,1711,Amount,more,Amount,number,0,0
D_JOL C 2,139,S,100,1837,Assignment,due,Assignment,due,100,1
D_JOL C 2,139,S,100,2359,Site,mai,Site,location,0,0
D_JOL C 2,139,S,100,1433,Waste,timr,Waste,dump,0,0
D_JOL C 2,139,S,100,3065,Jury,silent,Jury,trial,0,0
D_JOL C 2,139,S,100,3135,Design,idea,Design,architecture,0,0
D_JOL C 2,139,S,100,3268,Bar,jump,Bar,grill,0,0
D_JOL C 2,139,S,100,4516,Liver,day,Liver,kidney,0,0
D_JOL C 2,139,S,100,2803,Wind,chime,Wind,blow,0,0
D_JOL C 2,139,S,100,2540,Soda,pop,Soda,pop,100,1
D_JOL C 2,139,S,100,1334,Cheese,string,Cheese,wine,0,0
D_JOL C 2,139,S,100,2175,Toilet,water,Toilet,bathroom,0,0
D_JOL C 2,139,S,100,1487,Decision,making,Decision,choice,0,0
D_JOL C 2,139,S,100,1086,Foot,shoe,Foot,shoe,100,1
D_JOL C 2,139,S,100,2988,Future,past,Future,past,100,1
D_JOL C 2,139,S,100,2012,Salad,leaf,Salad,lettuce,0,0
D_JOL C 2,139,S,100,2979,Bee,joney,Bee,honey,0,0
D_JOL C 2,139,S,100,2388,Child,kid,Child,baby,0,0
D_JOL C 2,139,S,100,1463,Round,circle,Round,circle,100,1
D_JOL C 2,139,U,100,3321,Clutter,clean,Clutter,pusher,0,0
D_JOL C 2,139,U,100,5926,Sacking,leaving,Sacking,dietary,0,0
D_JOL C 2,139,U,100,2803,Hungry,empty,Hungry,park,0,0
D_JOL C 2,139,U,100,2268,Woman,girl,Woman,lift,0,0
D_JOL C 2,139,U,100,2232,Belt,brown,Belt,soon,0,0
D_JOL C 2,139,U,100,2066,Floor,eght,Floor,discover,0,0
D_JOL C 2,139,U,100,4415,Business,bad,Business,death,0,0
D_JOL C 2,139,U,100,1365,Sight,song,Sight,debate,0,0
D_JOL C 2,139,U,100,2324,Bronze,tough,Bronze,artery,0,0
D_JOL C 2,139,U,100,3764,Hand,hold,Hand,fix,0,0
D_JOL C 2,139,U,100,2120,Position,year,Position,machine,0,0
D_JOL C 2,139,U,100,1753,Car,ride,Car,happy,0,0
D_JOL C 2,139,U,100,2742,Tuck,fold,Tuck,allow,0,0
D_JOL C 2,139,U,100,2437,Accident,report,Accident,strong,0,0
D_JOL C 2,139,U,100,2316,Riddle,rhyme,Riddle,sugar,0,0
D_JOL C 2,139,U,100,3147,Add,less,Add,valley,0,0
D_JOL C 2,139,U,100,2585,Would,take,Would,cash,0,0
D_JOL C 2,139,U,100,1822,Sick,sneeze,Sick,hide,0,0
D_JOL C 2,139,U,100,2405,Vase,tme,Vase,king,0,0
D_JOL C 2,139,S,100,2378,Lonely,sad,Lonely,alone,0,0
D_JOL C 2,131,F,100,3295,Sip,drink,Sip,drink,100,1
D_JOL C 2,131,F,100,2152,Cave,bear,Cave,dark,0,0
D_JOL C 2,131,F,100,4656,Seize,take,Seize,take,100,1
D_JOL C 2,131,F,100,5218,Growth,shrink,Growth,height,0,0
D_JOL C 2,131,F,100,2326,Word,day,Word,sentence,0,0
D_JOL C 2,131,F,100,2608,Wasp,sting,Wasp,bug,0,0
D_JOL C 2,131,F,100,3093,Division,math,Division,math,100,1
D_JOL C 2,131,F,100,2097,Attorney,ba,Attorney,law,0,0
D_JOL C 2,131,F,100,2415,Fantastic,great,Fantastic,great,100,1
D_JOL C 2,131,F,100,2899,Latch,key,Latch,key,100,1
D_JOL C 2,131,F,100,2620,Chili,hot,Chili,hot,100,1
D_JOL C 2,131,F,100,2221,Racket,ball,Racket,ball,100,1
D_JOL C 2,131,F,100,1842,Chore,duty,Chore,work,0,0
D_JOL C 2,131,F,100,2667,Famine,hungry,Famine,hunger,0,0
D_JOL C 2,131,F,100,2416,Stench,smell,Stench,smell,100,1
D_JOL C 2,131,F,100,2151,Pilot,plane,Pilot,plane,100,1
D_JOL C 2,131,F,100,1860,Blaze,fire,Blaze,fire,100,1
D_JOL C 2,131,B,100,2250,Bad,good,Bad,delinquent,0,0
D_JOL C 2,131,B,100,3750,Stomach,back,Stomach,digestion,0,0
D_JOL C 2,131,B,100,1871,Money,amount,Money,wage,0,0
D_JOL C 2,131,B,100,2789,Sting,stench,Sting,hornet,0,0
D_JOL C 2,131,B,100,2444,Cold,sick,Cold,bitter,0,0
D_JOL C 2,131,B,100,2355,Plant,flowe,Plant,root,0,0
D_JOL C 2,131,B,100,2482,Bird,nest,Bird,swan,0,0
D_JOL C 2,131,B,100,2395,Dog,food,Dog,paw,0,0
D_JOL C 2,131,B,100,2296,Out,comes,Out,way,0,0
D_JOL C 2,131,B,100,2046,Rock,hard,Rock,geology,0,0
D_JOL C 2,131,B,100,1539,Talk,alot,Talk,discussion,0,0
D_JOL C 2,131,B,100,4706,Card,swipe,Card,credit,0,0
D_JOL C 2,131,B,100,3533,Flower,child,Flower,orchid,0,0
D_JOL C 2,131,B,100,2076,Fish,tuna,Fish,tuna,100,1
D_JOL C 2,131,S,100,3479,Waste,good,Waste,dump,0,0
D_JOL C 2,131,S,100,1907,Jury,attorney,Jury,trial,0,0
D_JOL C 2,131,S,100,3672,Design,architect,Design,architecture,133.3333333,1
D_JOL C 2,131,S,100,3559,Bar,lift,Bar,grill,0,0
D_JOL C 2,131,S,100,4172,Liver,kidney,Liver,kidney,100,1
D_JOL C 2,131,S,100,6920,End,begin,End,begin,100,1
D_JOL C 2,131,S,100,2617,Wind,breaker,Wind,blow,0,0
D_JOL C 2,131,S,100,1928,Toilet,tubb,Toilet,bathroom,0,0
D_JOL C 2,131,S,100,5046,Decision,made,Decision,choice,0,0
D_JOL C 2,131,S,100,4498,Foot,toe,Foot,shoe,0,0
D_JOL C 2,131,S,100,2556,Future,past,Future,past,100,1
D_JOL C 2,131,S,100,4819,Salad,healthy,Salad,lettuce,0,0
D_JOL C 2,131,S,100,2024,Bee,honey,Bee,honey,100,1
D_JOL C 2,131,S,100,2304,Child,flower,Child,baby,0,0
D_JOL C 2,131,U,100,2945,Woman,man,Woman,lift,0,0
D_JOL C 2,131,U,100,2329,Belt,latch,Belt,soon,0,0
D_JOL C 2,131,U,100,3553,Business,meeting,Business,death,0,0
D_JOL C 2,131,U,100,2830,Sight,scene,Sight,debate,0,0
D_JOL C 2,131,U,100,1399,Bronze,gold,Bronze,artery,0,0
D_JOL C 2,131,U,100,4048,Hand,made,Hand,fix,0,0
D_JOL C 2,131,U,100,2878,Tuck,uder,Tuck,allow,0,0
D_JOL C 2,131,U,100,2772,Lion,king,Lion,art,0,0
D_JOL C 2,131,U,100,2721,Accident,car,Accident,strong,0,0
D_JOL C 2,131,U,100,3122,Riddle,game,Riddle,sugar,0,0
D_JOL C 2,131,U,100,6311,Sick,cold,Sick,hide,0,0
D_JOL C 2,135,F,100,3613,Racket,ball,Racket,ball,100,1
D_JOL C 2,135,B,100,1959,Rock,medicine,Rock,geology,0,0
D_JOL C 2,135,S,100,3573,Bee,honey,Bee,honey,100,1
D_JOL C 2,131,F,100,1171,Windsield,wiper,NA,NA,0,0
D_JOL C 2,131,F,100,2295,Actress,movie,Actress,star,0,0
D_JOL C 2,131,F,100,3483,Thimble,tick,Thimble,thread,0,0
D_JOL C 2,131,F,100,3550,Strawberry,fruit,Strawberry,fruit,100,1
D_JOL C 2,131,F,100,3510,Favorite,show,Favorite,best,0,0
D_JOL C 2,131,F,100,3563,Breakable,unbreakable,Breakable,glass,0,0
D_JOL C 2,131,F,100,4210,Sardine,tuna,Sardine,fish,0,0
D_JOL C 2,131,F,100,5223,League,baseball,League,baseball,100,1
D_JOL C 2,131,F,100,9129,Brawl,down,Brawl,fight,0,0
