"ExperimentName","Subject","Session","Procedure.Block.","Running.Block.","Trial","cue_target","Direction","ListNum","JOL","JOL_RT","Procedure.Trial.","Recall_prompt","Response","Response_RT"
"D_JOL A 2",117,1,"BlockProc1","Block1",8,"Delinquent - Bad","F",1,100,2247,"StudyProc3","Delinquent - ?","prison",10923
"D_JOL A 2",117,1,"BlockProc1","Block1",75,"Digestion - Stomach","F",2,100,3291,"StudyProc3","Digestion - ?","stomach",5446
"D_JOL A 2",117,1,"BlockProc1","Block1",67,"Wage - Money","F",3,100,1932,"StudyProc3","Wage - ?","mone",5384
"D_JOL A 2",117,1,"BlockProc1","Block1",49,"Chisel - Hammer","F",4,100,4013,"StudyProc3","Chisel - ?","shape",6091
"D_JOL A 2",117,1,"BlockProc1","Block1",58,"Editor - News","F",5,95,3441,"StudyProc3","Editor - ?","paper",6531
"D_JOL A 2",117,1,"BlockProc1","Block1",24,"Hornet - Sting","F",6,100,3414,"StudyProc3","Hornet - ?","sting",4439
"D_JOL A 2",117,1,"BlockProc1","Block1",50,"Bitter - Cold","F",7,90,5163,"StudyProc3","Bitter - ?","sad",3129
"D_JOL A 2",117,1,"BlockProc1","Block1",66,"Root - Plant","F",8,100,1501,"StudyProc3","Root - ?","plant",4663
"D_JOL A 2",117,1,"BlockProc1","Block1",18,"Swan - Bird","F",9,100,3246,"StudyProc3","Swan - ?","bird",3389
"D_JOL A 2",117,1,"BlockProc1","Block1",7,"Paw - Dog","F",10,60,12120,"StudyProc3","Paw - ?","dog",12533
"D_JOL A 2",117,1,"BlockProc1","Block1",76,"Way - Out","F",11,100,1592,"StudyProc3","Way - ?","out",2417
"D_JOL A 2",117,1,"BlockProc1","Block1",57,"Hygiene - Clean","F",12,100,3112,"StudyProc3","Hygiene - ?","clean",2543
"D_JOL A 2",117,1,"BlockProc1","Block1",48,"Bridge - Water","F",13,100,2565,"StudyProc3","Bridge - ?","water",2561
"D_JOL A 2",117,1,"BlockProc1","Block1",61,"Geology - Rock","F",14,100,1979,"StudyProc3","Geology - ?","location",5252
"D_JOL A 2",117,1,"BlockProc1","Block1",79,"Revolution - War","F",15,100,1576,"StudyProc3","Revolution - ?","war",2727
"D_JOL A 2",117,1,"BlockProc1","Block1",73,"Discussion - Talk","F",16,80,3988,"StudyProc3","Discussion - ?","talk",8575
"D_JOL A 2",117,1,"BlockProc1","Block1",74,"Herd - Cow","F",17,100,3079,"StudyProc3","Herd - ?","cow",8856
"D_JOL A 2",117,1,"BlockProc1","Block1",82,"Credit - Card","F",18,100,1621,"StudyProc3","Credit - ?","card",3125
"D_JOL A 2",117,1,"BlockProc1","Block1",14,"Orchid - Flower","F",19,100,2170,"StudyProc3","Orchid - ?","flower",5439
"D_JOL A 2",117,1,"BlockProc1","Block1",70,"Tuna -  Fish","F",20,100,1629,"StudyProc3","Tuna - ?","fish",1907
"D_JOL A 2",117,1,"BlockProc1","Block1",38,"Full - Enough","B",21,100,2009,"StudyProc3","Full - ?","empty",5644
