,Row Labels,B0,F0,S0,U0,B10,F10,S10,U10,B20,F20,S20,U20,B30,F30,S30,U30,B40,F40,S40,U40,B50,F50,S50,U50,B60,F60,S60,U60,B70,F70,S70,U70,B80,F80,S80,U80,B90,F90,S90,U90,B100,F100,S100,U100
1,2,0,0,0,0,0,100,100,7.142857143,0,100,0,30,66.66666667,100,80,33.33333333,0,100,0,20,33.33333333,100,,33.33333333,33.33333333,88.88888889,20,0,40,100,75,0,63.63636364,80,75,0,83.33333333,100,100,0,100,100,88.88888889,0
1,3,50,100,100,8.108108108,0,0,100,0,0,0,0,50,0,100,100,0,0,100,66.66666667,0,0,100,40,0,37.5,100,71.42857143,0,66.66666667,100,75,0,18.18181818,71.42857143,50,0,0,100,100,0,40,100,100,0
1,4,0,0,100,5.555555556,0,100,100,0,0,0,100,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,100,0,18.18181818,48.64864865,31.42857143,25
1,5,66.66666667,33.33333333,100,0,0,100,0,6.451612903,100,0,33.33333333,0,0,0,0,0,0,100,0,0,75,0,100,100,60,100,50,0,42.85714286,75,71.42857143,0,33.33333333,100,100,0,14.28571429,50,81.81818182,0,33.33333333,73.33333333,75,0
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,9.090909091,0,0,100,25,16.66666667,71.42857143,100,66.66666667,0,57.14285714,0,0,40,83.33333333,66.66666667,0,20,87.5,63.63636364,100,55.55555556,100,50,0,42.85714286,80,85.71428571,0
1,7,0,0,0,0,33.33333333,0,0,11.53846154,0,100,0,0,0,75,0,0,33.33333333,100,0,0,100,100,100,0,0,0,0,0,0,100,100,0,66.66666667,75,66.66666667,0,57.14285714,85.71428571,66.66666667,0,43.75,68.75,76.47058824,0
1,8,0,100,0,0,33.33333333,0,100,0,0,33.33333333,0,0,0,0,60,0,11.11111111,40,50,10,21.42857143,50,33.33333333,0,20,30.76923077,46.15384615,0,33.33333333,87.5,44.44444444,0,0,50,100,0,0,0,100,0,0,0,0,0
1,10,0,0,0,0,0,50,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,50,0,0,0,100,0,0,0,50,100,25,75,40,0,0,33.33333333,33.33333333,0,12,46.15384615,46.15384615,0
1,11,0,0,0,10,0,0,100,0,0,0,0,0,0,100,0,0,100,100,100,0,0,40,0,0,50,50,0,0,0,0,0,0,11.11111111,50,33.33333333,0,33.33333333,100,25,0,16.66666667,47.61904762,56,0
1,13,0,0,0,0,0,100,0,0,0,0,0,25,0,0,0,0,50,50,100,25,33.33333333,100,50,0,50,40,50,33.33333333,55.55555556,80,40,50,33.33333333,75,40,0,66.66666667,84.61538462,69.23076923,0,0,100,40,0
1,14,0,0,100,0,0,0,50,66.66666667,0,0,0,0,0,0,50,20,0,100,50,25,69.23076923,71.42857143,100,7.142857143,50,100,0,0,40,75,100,0,25,70,83.33333333,0,0,66.66666667,70,0,100,100,60,0
1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,66.66666667,0,0,25,0,0,0,0,33.33333333,0,0,0,0,0,0,0,33.33333333,0,5.555555556,38.88888889,14.28571429,0
1,16,0,0,0,0,20,0,50,0,0,50,0,8.333333333,20,0,66.66666667,0,66.66666667,25,0,0,20,100,25,0,0,50,71.42857143,25,20,85.71428571,100,0,25,70,80,0,66.66666667,100,88.88888889,0,25,50,100,0
1,17,0,0,0,25,0,66.66666667,50,0,33.33333333,33.33333333,50,25,50,40,75,0,83.33333333,75,40,0,9.090909091,50,75,100,100,100,60,0,0,100,100,0,16.66666667,75,25,0,0,100,66.66666667,0,0,100,100,0
1,18,33.33333333,25,50,3.225806452,0,100,0,37.5,100,0,100,0,0,0,0,0,50,33.33333333,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,60,40,0,0,39.13043478,68.18181818,65.51724138,0
1,19,0,0,0,9.090909091,40,40,33.33333333,0,0,100,0,0,0,100,50,0,0,33.33333333,66.66666667,0,0,66.66666667,60,0,33.33333333,100,50,0,50,0,0,0,0,75,33.33333333,0,25,80,90,0,100,0,100,0
1,20,0,100,0,0,0,0,0,0,0,0,0,16.66666667,100,100,75,40,33.33333333,0,100,75,100,0,0,57.14285714,0,0,0,100,0,0,0,0,50,100,100,0,25,83.33333333,25,50,47.61904762,83.33333333,70.37037037,100
1,21,0,0,50,0,0,0,0,0,0,0,0,0,0,50,100,0,0,0,100,0,0,0,0,0,25,57.14285714,0,0,66.66666667,66.66666667,25,0,16.66666667,33.33333333,16.66666667,0,26.66666667,41.66666667,50,0,37.5,42.85714286,83.33333333,0
1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,20,0,0,0,0,42.85714286,75,68.18181818,50,0,0,0,0,0,0,0,0,68.75,71.42857143,88.23529412,0,0,0,0,0,0,0,0,0
1,25,0,100,0,0,100,100,0,10,0,66.66666667,33.33333333,7.692307692,23.52941176,72.72727273,22.22222222,8.333333333,50,63.63636364,36.36363636,0,60,81.81818182,75,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
1,26,0,0,0,0,0,25,0,0,0,100,0,7.692307692,0,50,100,25,0,50,0,0,50,57.14285714,16.66666667,0,0,0,0,0,40,100,75,0,0,60,20,0,50,75,18.75,0,40,33.33333333,66.66666667,0
1,27,0,0,0,0,0,0,0,7.692307692,50,100,50,0,50,100,0,42.85714286,40,0,0,20,40,71.42857143,83.33333333,28.57142857,0,100,100,0,33.33333333,100,100,0,25,75,80,0,100,100,100,0,45.45454545,92.30769231,72.72727273,0
1,29,0,0,0,0,0,0,0,0,0,100,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,50,100,0,0,83.33333333,100,0,33.33333333,50,100,0,53.57142857,70.37037037,62.5,0
1,30,0,0,0,0,0,0,0,28.57142857,0,33.33333333,0,8.333333333,33.33333333,33.33333333,0,8.333333333,33.33333333,66.66666667,40,40,40,66.66666667,66.66666667,0,71.42857143,75,75,0,22.22222222,100,71.42857143,0,66.66666667,100,90,0,50,100,75,0,0,0,0,0
1,31,0,66.66666667,0,6.666666667,0,0,0,0,0,100,0,0,0,0,100,0,66.66666667,0,0,0,33.33333333,33.33333333,100,0,20,66.66666667,33.33333333,0,66.66666667,100,0,0,100,83.33333333,100,0,33.33333333,100,25,0,20,85.71428571,66.66666667,0
1,33,0,100,33.33333333,0,0,0,100,0,0,33.33333333,0,21.42857143,50,0,0,11.11111111,33.33333333,100,0,33.33333333,60,66.66666667,50,33.33333333,40,100,80,0,40,83.33333333,75,50,71.42857143,44.44444444,80,66.66666667,0,60,80,0,28.57142857,100,58.33333333,0
1,34,0,0,70,50,100,0,100,0,0,100,60,0,0,100,33.33333333,0,0,0,50,0,0,100,100,16.66666667,100,50,50,0,50,80,66.66666667,0,50,88.88888889,100,25,47.36842105,86.66666667,75,30.76923077,0,0,0,0
1,109,0,0,0,100,0,0,0,0,0,0,0,0,0,25,0,0,33.33333333,0,0,0,75,100,0,0,66.66666667,100,100,0,0,50,0,0,42.85714286,72.72727273,71.42857143,0,33.33333333,81.25,65.38461538,0,100,0,0,0
2,73,50,50,62.5,7.692307692,37.5,100,40,5,100,100,0,50,0,100,0,0,0,0,100,0,0,100,50,0,0,0,0,0,100,100,100,0,100,83.33333333,100,0,50,71.42857143,85.71428571,0,69.23076923,87.5,75,0
2,74,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27272727,50,50,14.81481481,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,44.44444444,65.38461538,67.64705882,40
2,77,0,0,0,0,0,100,100,7.692307692,0,100,0,11.11111111,0,100,0,0,0,100,0,0,50,100,50,0,28.57142857,100,50,50,66.66666667,100,100,0,20,60,100,0,0,100,42.85714286,0,36.36363636,76.47058824,60,33.33333333
2,78,0,100,0,100,0,50,0,25,0,100,0,8.333333333,100,0,0,33.33333333,66.66666667,0,0,0,0,0,50,0,0,0,100,33.33333333,33.33333333,66.66666667,25,50,0,33.33333333,80,0,40,66.66666667,61.53846154,0,33.33333333,66.66666667,78.57142857,0
2,79,40,80,40,29.41176471,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,60,60,100,0,0,100,0,0,0,0,0,0,33.33333333,50,100,0,80,60,66.66666667,0,42.10526316,80.95238095,60,33.33333333
2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,6.666666667,33.33333333,50,0,18.18181818,45.45454545,25,0,50,33.33333333,50,0,0,83.33333333,0,0,0,90,66.66666667,100
2,81,0,50,75,33.33333333,0,0,80,13.33333333,0,100,100,0,0,100,100,25,100,0,100,0,100,100,100,100,100,0,100,100,0,75,0,0,75,100,0,0,33.33333333,100,33.33333333,100,75,84,80,25
2,82,0,0,50,0,0,0,100,0,40,66.66666667,0,6.25,16.66666667,62.5,40,9.090909091,28.57142857,57.14285714,83.33333333,0,14.28571429,66.66666667,50,0,33.33333333,100,100,0,0,100,0,0,50,80,62.5,0,0,0,66.66666667,0,0,100,100,0
2,83,0,0,0,0,0,0,100,0,0,0,0,25,100,100,0,0,0,0,66.66666667,25,0,66.66666667,100,0,0,33.33333333,100,0,50,50,57.14285714,0,9.090909091,87.5,14.28571429,0,28.57142857,75,50,0,20,57.14285714,63.63636364,0
2,84,25,33.33333333,0,50,16.66666667,60,25,6.666666667,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,50,0,0,0,50,0,33.33333333,66.66666667,50,0,23.52941176,64.28571429,42.10526316,12.5
2,85,0,0,0,0,50,0,66.66666667,10.52631579,0,100,66.66666667,0,0,100,100,0,100,100,0,50,0,100,0,0,40,100,0,0,33.33333333,100,100,100,60,100,100,0,71.42857143,100,92.30769231,0,81.25,86.66666667,87.5,0
