Direction,Jol_Bin,Average,upper,lower
B,0,19.27710843,24.45400572,14.10021115
B,1,22.71789982,33.46334764,21.21291135
B,2,22.91612864,28.14865718,14.92826589
B,3,22.48886481,25.98329758,13.76029217
B,4,25.73191284,31.87718133,20.23549472
B,5,29.17742567,37.19937335,25.33583792
B,6,32.83765867,36.23895339,24.17771328
B,7,33.99704436,43.77441196,30.29966212
B,8,35.81996103,40.91568017,28.57584525
B,9,36.80761535,41.78210101,29.57206566
B,10,40,45.22960832,34.77039168
F,0,39.39393939,46.39462617,32.39325262
F,1,47.41702742,57.26637435,42.73362565
F,2,53.94383394,59.81888855,45.89539717
F,3,59.4993895,66.20456269,51.74415526
F,4,66.44711048,72.9614899,60.37184344
F,5,67.96954638,79.44992519,67.95068643
F,6,70.31777089,69.67390862,57.40942471
F,7,69.96024803,79.7266219,67.69605851
F,8,73.16787813,77.94787095,67.3076035
F,9,73.04384415,78.44004521,67.88906871
F,10,73.33923826,78.03268386,68.64579267
S,0,43.71584699,50.67858374,36.75311025
S,1,43.1766776,43.32735241,29.39992032
S,2,45.27139527,56.03090238,42.87019652
S,3,49.09221214,57.29425278,42.70574722
S,4,54.19061656,54.81813623,40.83403769
S,5,55.04095669,71.17893267,58.31259276
S,6,59.30618159,59.28855233,45.81348849
S,7,57.27806646,67.02512346,54.21839986
S,8,59.87853396,64.95322712,52.36960753
S,9,61.86875595,66.46834341,54.2365024
S,10,66.59242762,70.76777999,62.41707525
U,0,9.207459207,12.88253493,5.53238348
U,1,9.69370445,12.18694342,4.38963316
U,2,8.918129362,14.76358799,8.407143715
U,3,10.32203327,9.695683692,4.065784198
U,4,11.22214941,18.21277166,6.787228338
U,5,12.31021394,19.17939156,9.392037007
U,6,12.0651159,15.35166564,4.93818943
U,7,15.90536168,17.35726084,6.172150923
U,8,19.73092637,32.79324621,18.81965701
U,9,23.00360235,27.67526538,15.56797786
U,10,21.58273381,27.67350871,15.49195891
