ExperimentName,Subject,Direction,JOL,JOL_RT,recall_cue,Recall_Response,sorted_JOL_CUE,sorted_JOL_TARGET,percent_match,scored
D_JOL C 2,115,B,,3128,Dog,food,Dog,paw,0,0
D_JOL A 2,141,S,,8765,Grill,food,Grill,bar,0,0
D_JOL A 2,145,B,,424,Hunger,food,Hunger,famine,0,0
D_JOL A 2,141,U,,5302,Meat,food,Meat,obtain,0,0
D_JOL A 2,141,U,,601,Keys,car,Keys,joke,0,0
D_JOL A 2,117,S,,2549,Phone,ring,Phone,communication,0,0
D_JOL A 2,117,U,,3384,Name,watch,Name,hate,0,0
D_JOL A 2,125,F,,908,Cactus,plant,Cactus,plant,100,1
D_JOL A 2,125,F,,2498,Detective,disinfect,Detective,mystery,0,0
D_JOL A 2,125,F,,7129,Litter,trash,Litter,trash,100,1
D_JOL A 2,125,F,,811,Cherry,red,Cherry,red,100,1
D_JOL A 2,125,B,,1351,Best,luck,Best,favorite,0,0
D_JOL A 2,125,B,,1745,Cat,chase,Cat,panther,0,0
D_JOL A 2,125,B,,1064,Glass,mirror,Glass,breakable,0,0
D_JOL A 2,125,B,,2376,Fish,squid,Fish,sardine,0,0
D_JOL A 2,125,S,,855,Razor,shave,Razor,shave,100,1
D_JOL A 2,125,S,,1955,Candle,wax,Candle,wax,100,1
D_JOL A 2,125,S,,1514,Element,carbon,Element,carbon,100,1
D_JOL A 2,125,S,,1429,Safety,seatbelt,Safety,seatbelt,100,1
D_JOL A 2,125,S,,1146,Rod,reel,Rod,reel,100,1
D_JOL A 2,125,U,,631,Give,have,Give,steak,0,0
D_JOL A 2,125,U,,5767,Both,bold,Both,ounce,0,0
D_JOL A 2,125,U,,1155,Main,vein,Main,scar,0,0
D_JOL B 2,142,B,,1920,Key,stone,Key,latch,0,0
D_JOL B 2,150,B,,392,Law,jury,Law,attorney,0,0
D_JOL B 2,150,S,,425,Dump,truck,Dump,waste,0,0
D_JOL B 2,150,U,,649,Debate,talk,Debate,sight,0,0
D_JOL B 2,154,F,,1955,Way,allow,Way,out,0,0
D_JOL B 2,154,B,,2145,Sentence,structure,Sentence,word,0,0
D_JOL B 2,154,U,,5810,Park,dog,Park,hungry,0,0
D_JOL B 2,142,B,,189,Baseball,fied,Baseball,league,0,0
D_JOL B 2,142,S,,3880,Dry,wet,Dry,wet,100,1
D_JOL B 2,150,U,,130,Moat,clear,Moat,clear,100,1
D_JOL B 2,118,F,,166,Bridge,water,Bridge,water,100,1
D_JOL B 2,118,F,,941,Discussion,talk,Discussion,talk,100,1
D_JOL B 2,118,S,,552,Location,area,Location,site,0,0
D_JOL B 2,118,S,,868,Lettuce,salad,Lettuce,salad,100,1
D_JOL B 2,118,U,,4646,Allow,deny,Allow,tuck,0,0
D_JOL B 2,114,B,,5898,Turn,slide,Turn,flip,0,0
D_JOL B 2,114,B,,4814,Pop,jazz,Pop,soda,0,0
D_JOL B 2,114,U,,3930,Main,general,Main,scar,0,0
D_JOL B 2,118,B,,1627,Star,gaze,Star,actress,0,0
D_JOL B 2,118,U,,591,Shell,snake,Shell,snake,100,1
D_JOL C 2,115,F,,3371,Thimble,thamble,Thimble,thread,0,0
D_JOL C 2,115,F,,3578,Balloon,pop,Balloon,pop,100,1
D_JOL C 2,115,F,,2477,Panther,cat,Panther,cat,100,1
D_JOL C 2,115,F,,4076,Coffin,death,Coffin,dead,0,0
D_JOL C 2,115,B,,2590,Cut,chop,Cut,chop,100,1
D_JOL C 2,115,B,,20434,Eat,food,Eat,dine,0,0
D_JOL C 2,115,B,,4503,Fight,brawl,Fight,feud,0,0
D_JOL C 2,115,B,,3286,Love,give,Love,affection,0,0
D_JOL C 2,115,S,,6206,Equal,rights,Equal,rights,100,1
D_JOL C 2,115,S,,3564,Bracelet,wrist,Bracelet,wrist,100,1
D_JOL C 2,115,S,,3632,Carbon,element,Carbon,element,100,1
D_JOL C 2,115,S,,2126,Seatbelt,safety,Seatbelt,safety,100,1
D_JOL C 2,115,U,,2208,Tan,sun,Tan,sun,100,1
D_JOL C 2,115,U,,2216,Cloth,sheet,Cloth,stretch,0,0
D_JOL C 2,115,U,,2689,Steak,chill,Steak,give,0,0
D_JOL C 2,115,U,,2785,Election,campaign,Election,maze,0,0
D_JOL C 2,115,U,,3571,Able,cackle,Able,crackle,0,0
D_JOL C 2,115,U,,15055,Shake,shell,Shake,shell,100,1
D_JOL C 2,115,U,,6753,Fiction,listen,Fiction,listen,100,1
D_JOL C 2,115,U,,3489,Bang,pow,Bang,fuzzy,0,0
D_JOL C 2,115,U,,4907,Clear,transparent,Clear,moat,0,0
D_JOL C 2,115,U,,2126,Ounce,both,Ounce,both,100,1
D_JOL C 2,115,U,,5079,Children,baby,Children,mirror,0,0
D_JOL C 2,115,U,,2516,Main,job,Main,scar,0,0
D_JOL C 2,139,F,,4326,Breakable,glass,Breakable,glass,100,1
D_JOL C 2,139,F,,4605,Truthful,speak,Truthful,honest,0,0
D_JOL C 2,139,B,,2846,Game,win,Game,clue,0,0
D_JOL C 2,139,B,,2868,Eat,sleep,Eat,dine,0,0
D_JOL C 2,139,S,,2748,Tick,bug,Tick,flea,0,0
D_JOL C 2,139,S,,11230,Noise,loud,Noise,loud,100,1
D_JOL C 2,139,S,,966,Have,hive,Have,own,0,0
D_JOL C 2,139,U,,3912,Election,car,Election,maze,0,0
D_JOL C 2,139,U,,3304,Children,school,Children,mirror,0,0
D_JOL C 2,143,U,,1484,Position,placement,Position,machine,0,0
D_JOL C 2,147,F,,4321,Drowsy,sleep,Drowsy,sleep,100,1
D_JOL C 2,147,F,,3734,Attire,clothes,Attire,clothes,100,1
D_JOL C 2,147,U,,221,Woman,feminine,Woman,lift,0,0
D_JOL C 2,147,F,,2048,Penguin,bird,Penguin,bird,100,1
D_JOL C 2,147,B,,1753,Red,cherry,Red,cherry,100,1
D_JOL C 2,147,S,,2283,Communication,phone,Communication,phone,100,1
D_JOL C 2,151,F,,3345,Penguin,bird,Penguin,bird,100,1
D_JOL C 2,151,F,,831,Thimble,nimble,Thimble,thread,0,0
D_JOL C 2,151,S,,218,Wax,candle,Wax,candle,100,1
D_JOL C 2,116,S,,162,Decision,make,Decision,choice,0,0
D_JOL C 2,123,F,,1014,Drowsy,tired,Drowsy,sleep,0,0
D_JOL C 2,127,U,,5901,Sick,,Sick,hide,NA,0
D_JOL C 2,116,F,,6915,Balloon,air,Balloon,pop,0,0
D_JOL C 2,116,S,,1567,Drink,soda,Drink,water,0,0
D_JOL C 2,119,U,,1518,Fiction,fact,Fiction,listen,0,0
D_JOL C 2,123,B,,3824,Head,foot,Head,scalp,0,0
D_JOL C 2,123,B,,4227,Cold,hot,Cold,bitter,0,0
D_JOL C 2,123,S,,1137,Drink,water,Drink,water,100,1
D_JOL C 2,123,S,,1542,Communication,talk,Communication,phone,0,0
D_JOL C 2,123,S,,2394,Have,you,Have,own,0,0
D_JOL C 2,127,F,,1123,Thimble,thread,Thimble,thread,100,1
D_JOL C 2,127,F,,5414,Breakable,glass,Breakable,glass,100,1
D_JOL C 2,127,F,,22450,Aircraft,plane,Aircraft,plane,100,1
D_JOL C 2,127,F,,795,Banker,money,Banker,money,100,1
D_JOL C 2,127,B,,3305,Smell,incense,Smell,incense,100,1
D_JOL C 2,127,B,,1265,Fight,feud,Fight,feud,100,1
D_JOL C 2,127,S,,6194,Carbon,element,Carbon,element,100,1
D_JOL C 2,127,U,,4597,Steak,give,Steak,give,100,1
D_JOL C 2,127,S,,2015,Hate,,Hate,name,NA,0
D_JOL C 2,127,U,,1533,Clear,moat,Clear,moat,100,1
D_JOL D 2,148,B,,1583,Cold,hot,Cold,bitter,0,0
D_JOL D 2,148,S,,2730,Foot,shoe,Foot,shoe,100,1
D_JOL D 2,152,F,,11903,Latch,feeding,Latch,key,0,0
D_JOL D 2,152,B,,3060,Plant,flower,Plant,root,0,0
D_JOL D 2,152,B,,2850,Bird,pengiun,Bird,swan,0,0
D_JOL D 2,152,U,,1685,Sacking,pack,Sacking,dietary,0,0
D_JOL D 2,144,U,,15720,Able,ability,Able,crackle,0,0
D_JOL D 2,152,B,,1336,Donkey,horse,Donkey,mule,0,0
D_JOL D 2,152,U,,4084,Obtain,maintain,Obtain,meat,0,0
D_JOL D 2,152,U,,18206,Bang,hammer,Bang,fuzzy,0,0
D_JOL D 2,120,F,,2494,Growth,height,Growth,height,100,1
D_JOL D 2,120,S,,2045,Salad,dressing,Salad,lettuce,0,0
D_JOL D 2,124,U,,6158,Sight,eye,Sight,debate,0,0
D_JOL D 2,124,U,,6013,Add,math,Add,valley,0,0
