Task,Direction,Average,Upper,Lower
JOL,B,63.8239159,69.53936322,58.10846858
Recall,B,30.64102564,36.34104552,24.94100576
JOL,F,66.91787122,72.0792445,61.75649795
Recall,F,67.24358974,73.02566392,61.46151557
JOL,S,69.13245902,74.3572377,63.90768034
Recall,S,58.58974359,65.01168271,52.16780447
JOL,U,40.28401585,47.72325155,32.84478015
Recall,U,14.93589744,19.35792047,10.5138744
