ExperimentName,Subject,Session,Procedure[Block],Running[Block],Trial,Block1ITEMS,Block2ITEMS,cue_target,Direction,ListNum,pword3.RESP,pword3.RT,pword5.RESP,pword5.RT,Rword1.RESP,Rword1.RT,Rword2.RESP,Rword2.RT,Procedure[Trial]
D_JOL C 2,139,1,BlockProc1,Block1,1,,,Curtain - Drapes,,2,,,,,,,,,StudyProc1
D_JOL C 2,139,1,BlockProc1,Block1,2,,,Haircut-Scissors,,1,,,,,,,,,StudyProc1
D_JOL C 2,139,1,BlockProc1,Block1,3,,,Shrimp - Fish,,4,,,,,,,,,StudyProc1
D_JOL C 2,139,1,BlockProc1,Block1,4,,,Member - Group,,5,,,,,,,,,StudyProc1
D_JOL C 2,139,1,BlockProc1,Block1,5,,,Snow - Ice,,3,,,,,,,,,StudyProc1
D_JOL C 2,139,1,BlockProc1,Block1,6,10,,Fantastic - Great,F,10,100,2715,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,7,67,,Business - Death,U,67,100,4415,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,8,27,,Plant - Root,B,27,100,2808,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,9,45,,Jury - Trial,S,45,100,3065,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,10,46,,Design - Architecture,S,46,100,3135,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,11,25,,Sting - Hornet,B,25,100,3772,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,12,16,,Drowsy - Sleep,F,16,95,6233,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,13,39,,Fish - Tuna,B,39,100,2402,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,14,71,,Position - Machine,U,71,100,2120,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,15,14,,Chore - Work,F,14,100,3283,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,16,59,,Child - Baby,S,59,100,2388,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,17,63,,Hungry - Park,U,63,100,2803,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,18,35,,Talk - Discussion,B,35,90,5280,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,19,22,,Stomach - Digestion,B,22,85,7055,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,20,24,,News - Editor,B,24,100,2481,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,21,49,,End - Begin,S,49,,1758,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,22,62,,Sacking - Dietary,U,62,100,5926,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,23,36,,Cow - Herd,B,36,100,3128,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,24,13,,Racket - Ball,F,13,100,4149,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,25,80,,Vase - King,U,80,100,2405,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,26,48,,Liver - Kidney,S,48,100,4516,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,27,75,,Accident - Strong,U,75,100,2437,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,28,21,,Bad - Delinquent,B,21,100,2540,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,29,70,,Hand - Fix,U,70,100,3764,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,30,47,,Bar - Grill,S,47,100,3268,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,31,6,,Word - Sentence,F,6,100,2511,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,32,40,,Hammer - Chisel,B,40,100,5160,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,33,53,,Toilet - Bathroom,S,53,100,2175,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,34,17,,Stench - Smell,F,17,100,2226,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,35,19,,Pilot - Plane,F,19,100,3687,,,,,,,StudyProc3
D_JOL C 2,139,1,BlockProc1,Block1,36,33,,Rock - Geology,B,33,100,2343,,,,,,,StudyProc3
