"ExperimentName","Subject","Session","Procedure.Block.","Running.Block.","Trial","cue_target","Direction","ListNum","JOL","JOL_RT","Procedure.Trial.","Recall_prompt","Response","Response_RT"
"D_JOL A 2",133,1,"BlockProc1","Block1",80,"Delinquent - Bad","F",1,"89",6420,"StudyProc3","Delinquent - ?","bad",3389
"D_JOL A 2",133,1,"BlockProc1","Block1",73,"Digestion - Stomach","F",2,"76",7850,"StudyProc3","Digestion - ?","stomach",4992
"D_JOL A 2",133,1,"BlockProc1","Block1",15,"Wage - Money","F",3,"78",5574,"StudyProc3","Wage - ?","would",14914
"D_JOL A 2",133,1,"BlockProc1","Block1",49,"Chisel - Hammer","F",4,"98",3561,"StudyProc3","Chisel - ?","hammer",4836
"D_JOL A 2",133,1,"BlockProc1","Block1",64,"Editor - News","F",5,"99",3397,"StudyProc3","Editor - ?","writer",7676
"D_JOL A 2",133,1,"BlockProc1","Block1",53,"Hornet - Sting","F",6,"95",3463,"StudyProc3","Hornet - ?","nest",3336
"D_JOL A 2",133,1,"BlockProc1","Block1",22,"Bitter - Cold","F",7,"98",4078,"StudyProc3","Bitter - ?","sweet",3133
"D_JOL A 2",133,1,"BlockProc1","Block1",11,"Root - Plant","F",8,"67",4088,"StudyProc3","Root - ?","tree",6892
"D_JOL A 2",133,1,"BlockProc1","Block1",12,"Swan - Bird","F",9,"12",9734,"StudyProc3","Swan - ?","lake",3568
"D_JOL A 2",133,1,"BlockProc1","Block1",77,"Paw - Dog","F",10,"97",4803,"StudyProc3","Paw - ?","dog",3251
"D_JOL A 2",133,1,"BlockProc1","Block1",79,"Way - Out","F",11,"100",3578,"StudyProc3","Way - ?","out",2777
"D_JOL A 2",133,1,"BlockProc1","Block1",59,"Hygiene - Clean","F",12,"99",3130,"StudyProc3","Hygiene - ?","clean",4330
"D_JOL A 2",133,1,"BlockProc1","Block1",47,"Bridge - Water","F",13,"89",4422,"StudyProc3","Bridge - ?","boat",3914
"D_JOL A 2",133,1,"BlockProc1","Block1",13,"Geology - Rock","F",14,"100",6090,"StudyProc3","Geology - ?","rock",3799
"D_JOL A 2",133,1,"BlockProc1","Block1",14,"Revolution - War","F",15,"98",6054,"StudyProc3","Revolution - ?","war",2496
"D_JOL A 2",133,1,"BlockProc1","Block1",82,"Discussion - Talk","F",16,"97",2920,"StudyProc3","Discussion - ?","talk",3390
"D_JOL A 2",133,1,"BlockProc1","Block1",72,"Herd - Cow","F",17,"88",6105,"StudyProc3","Herd - ?","cow",2416
"D_JOL A 2",133,1,"BlockProc1","Block1",28,"Credit - Card","F",18,"97",6319,"StudyProc3","Credit - ?","card",3130
"D_JOL A 2",133,1,"BlockProc1","Block1",6,"Orchid - Flower","F",19,"73",14863,"StudyProc3","Orchid - ?","flower",3257
"D_JOL A 2",133,1,"BlockProc1","Block1",37,"Tuna -  Fish","F",20,"97",6976,"StudyProc3","Tuna - ?","fish",3713
"D_JOL A 2",133,1,"BlockProc1","Block1",39,"Full - Enough","B",21,"98",2533,"StudyProc3","Full - ?","empty",8839
"D_JOL A 2",133,1,"BlockProc1","Block1",75,"Drink - Sip","B",22,"97",3760,"StudyProc3","Drink - ?","water",29014
"D_JOL A 2",133,1,"BlockProc1","Block1",41,"Dark - Cave","B",23,"96",2398,"StudyProc3","Dark - ?","light",7768
"D_JOL A 2",133,1,"BlockProc1","Block1",24,"Take - Seize","B",24,"98",4751,"StudyProc3","Take - ?","out",3263
"D_JOL A 2",133,1,"BlockProc1","Block1",34,"Height - Growth","B",25,"95",4830,"StudyProc3","Height - ?","tall",4109
"D_JOL A 2",133,1,"BlockProc1","Block1",46,"Sentence - Word","B",26,"87",4676,"StudyProc3","Sentence - ?","write",7448
"D_JOL A 2",133,1,"BlockProc1","Block1",65,"Bug - Wasp","B",27,"2",8227,"StudyProc3","Bug - ?","bird",10863
"D_JOL A 2",133,1,"BlockProc1","Block1",56,"Math - Division","B",28,"26",5990,"StudyProc3","Math - ?","test",10889
"D_JOL A 2",133,1,"BlockProc1","Block1",85,"Law - Attorney","B",29,"98",6269,"StudyProc3","Law - ?","justice",6957
"D_JOL A 2",133,1,"BlockProc1","Block1",16,"Great - Fantastic","B",30,"90",4446,"StudyProc3","Great - ?","fantastic",8541
"D_JOL A 2",133,1,"BlockProc1","Block1",31,"Key - Latch","B",31,"94",8754,"StudyProc3","Key - ?","hole",3720
"D_JOL A 2",133,1,"BlockProc1","Block1",74,"Hot - Chili","B",32,"89",1884,"StudyProc3","Hot - ?","chili",6259
"D_JOL A 2",133,1,"BlockProc1","Block1",30,"Ball - Racket","B",33,"98",4705,"StudyProc3","Ball - ?","bounce",8386
"D_JOL A 2",133,1,"BlockProc1","Block1",19,"Work - Chore","B",34,"99",4116,"StudyProc3","Work - ?","would",4559
"D_JOL A 2",133,1,"BlockProc1","Block1",42,"Hunger - Famine","B",35,"95",3088,"StudyProc3","Hunger - ?","burger",5837
"D_JOL A 2",133,1,"BlockProc1","Block1",84,"Sleep - Drowsy","B",36,"89",3700,"StudyProc3","Sleep - ?","awake",7221
"D_JOL A 2",133,1,"BlockProc1","Block1",54,"Smell - Stench","B",37,"98",5184,"StudyProc3","Smell - ?","stinch",14152
"D_JOL A 2",133,1,"BlockProc1","Block1",33,"Clothes - Attire","B",38,"12",5082,"StudyProc3","Clothes - ?","dress",8268
"D_JOL A 2",133,1,"BlockProc1","Block1",67,"Plane - Pilot","B",39,"97",8090,"StudyProc3","Plane - ?","fly",7445
"D_JOL A 2",133,1,"BlockProc1","Block1",10,"Fire - Blaze","B",40,"23",11598,"StudyProc3","Fire - ?","wood",3344
