ExperimentName,Subject,Session,Procedure[Block],Running[Block],Trial,Block1ITEMS,Block2ITEMS,cue_target,Direction,ListNum,pword3.RESP,pword3.RT,pword5.RESP,pword5.RT,Rword1.RESP,Rword1.RT,Rword2.RESP,Rword2.RT,Procedure[Trial]
D_JOL A 2,133,1,BlockProc1,Block1,1,,,Curtain - Drapes,,2,,,,,,,,,StudyProc1
D_JOL A 2,133,1,BlockProc1,Block1,2,,,Snow - Ice,,3,,,,,,,,,StudyProc1
D_JOL A 2,133,1,BlockProc1,Block1,3,,,Member - Group,,5,,,,,,,,,StudyProc1
D_JOL A 2,133,1,BlockProc1,Block1,4,,,Haircut-Scissors,,1,,,,,,,,,StudyProc1
D_JOL A 2,133,1,BlockProc1,Block1,5,,,Shrimp - Fish,,4,,,,,,,,,StudyProc1
D_JOL A 2,133,1,BlockProc1,Block1,6,19,,Orchid - Flower,F,19,73,14863,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,7,74,,Art - Lion,U,74,14,12951,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,8,80,,King - Vase,U,80,47,8012,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,9,52,,Wine - Cheese,S,52,34,11613,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,10,40,,Fire - Blaze,B,40,23,11598,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,11,8,,Root - Plant,F,8,67,4088,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,12,9,,Swan - Bird,F,9,12,9734,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,13,14,,Geology - Rock,F,14,100,6090,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,14,15,,Revolution - War,F,15,98,6054,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,15,3,,Wage - Money,F,3,78,5574,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,16,30,,Great - Fantastic,B,30,90,4446,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,17,73,,Allow - Tuck,U,73,98,3197,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,18,47,,Grill -Bar,S,47,100,3891,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,19,34,,Work - Chore,B,34,99,4116,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,20,79,,Hide - Sick,U,79,89,6597,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,21,64,,Lift - Woman,U,64,45,6907,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,22,7,,Bitter - Cold,F,7,98,4078,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,23,65,,Soon - Belt,U,65,89,6011,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,24,24,,Take - Seize,B,24,98,4751,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,25,45,,Trial - Jury,S,45,95,8723,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,26,66,,Discover - Floor,U,66,95,4252,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,27,51,,Pop - Soda,S,51,97,5780,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,28,18,,Credit - Card,F,18,97,6319,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,29,78,,Cash - Would,U,78,99,9184,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,30,33,,Ball - Racket,B,33,98,4705,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,31,31,,Key - Latch,B,31,94,8754,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,32,72,,Happy - Car,U,72,97,4740,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,33,38,,Clothes - Attire,B,38,12,5082,,,,,,,StudyProc3
D_JOL A 2,133,1,BlockProc1,Block1,34,25,,Height - Growth,B,25,95,4830,,,,,,,StudyProc3
